Other,English
taganemine,abjuration
"(vande all) lahti ütlema, taganema",abjure
abhaasi keel,Abkhaz
Abhaasia,Abkhazia
Abhaasia ; abhaas,Abkhazian
eemaldatud,ablated
kuluv ; alaltütlev (kääne),ablative
"ablatiiv, alaltütlev kääne",ablative case
ablaut,ablaut
"leegitsev, särav, vaimustunud",ablaze
"suutlik, võimekas",able
vanemmadrus,able seaman
konkurentsivõimeline,able to compete
maksuvõimeline,able to pay
kehaliselt terve,able-bodied
vanemmadrus,able-bodied seaman
õilmitsev,abloom
"pesemine (er religioosne), pesemisvesi",ablution
"osavalt, suutlikult",ably
antiballistiline rakett,ABM
tagasi astuma,abnegate
"enesesalgamine, isetus",abnegation
"ebanormaalne, tavatult suur",abnormal
kõrvalekalded,abnormalcies
hälbed,abnormalities
ebanormaalsus,abnormality
"hälbeliselt, tavatult",abnormally
"pardal, pardale, peal",aboard
abordaa˛,aboardage
lahkhambumus,abocclusion
eluase,abode
õndsate elupaik,abode of the blessed
neetute elupaik,abode of the damned
kaotama,abolish
tühistatav,abolishable
"kaotatud, tühistatud",abolished
kaotamine,abolishments
"kaotamine, tühistamine, ümber lükkamine",abolition
aatompomm,a-bomb
aatompomm,A-bomb
tuumavarjend,A-bomb shelter
jälk,abominable
jeti,abominable snowman
"jeti, lumeinimene",Abominable Snowman
vastikult,abominably
"jälestama, südamest põlastama",abominate
vihkaja,abominator
suuväline,aboral
"algupärane, pärismaine",aboriginal
aborigeen,Aboriginal
pärismaalane,aborigine
aborigeen,Aborigine
"sünnihetkel, sünnitusel",aborning
"aborti tegema, katkestama",abort
aborti esile kutsuv,abortifacient
"abort, nurjumine, raseduse katkestamine",abortion
"abordi läbiviija, nurgaemand",abortionist
"luhta läinud, nurjunud",abortive
nurjunud katse,abortive attempt
enneaegselt sündinud laps,abortive fetus
tulutult,abortively
nurisünnitusel väljunud loode,abortus
"abuulia, otsustusvõimetus",aboulia
"kubisema, külluses olema",abound
külluses olema,abound with
külluses suplema,abounding in riches
"kohta, ligikaudu, umbes, ümber ; teave, ümbruses",about
täispööre,about face
kavatsema ; valmis,about to
juhtumas,about to happen
valmis merele minema,about to sail
ümberpöörd,about turn
paarkümmend,about twenty
"täispööre, ümberpöörd",about-face
ümbermõtlemine,about-facing
ümberpöörd,about-turn
"kohal, kõrgemal, üle, üles, üleval",above
"eelkõige, üle kõige",above all
aus ; ausalt,above board
"kasuga, ülekursiga",above par
ülakorrusel,above stairs
väljaspool kahtlust,above suspicion
veepealne,above water
üle mõistuse,above your head
"aus ; ausalt, avalik",above-board
ülalmainitud,above-cited
"maapealne, pinna-",aboveground
ülalnimetatud,above-named
ülakorrusel,abovestairs
abrakadabra,abracadabra
kätetus,abrachia
abrasiivsus,abradability
kraabits,abradant
"kraapima, kratsima",abrade
marraskil,abraded
kraabits,abrader
"lihvimine, silumine",abrading
nurg,Abramis
kuluma,abrase
"abrasioon, hõõrumisjälg, kulutus, marrastus",abrasion
murrutuslava,abrasion platform
"abrasiiv-, lihvimis-",abrasive
lihvimisvõime,abrasiveness
"kõrvuti, pardati, traaversis",abreast
"aja tasemel, kursis",abreast of
ajaga sammu pidama,abreast of the times
"kokkuvõtlikult esitama, lühendama",abridge
lühendatud,abridged
lühendus,abridgement
"välismaal, võõrsil ; liikvel",abroad
ametlikult ära muutma,abrogate
"ametlik tühistus, ümber lükkamine",abrogation
"järsk, äkiline",abrupt
"järsult, äkiliselt",abruptly
äkilisus,abruptness
mädapaise,abscess
mädanev,abscessed
küljest lõikama,abscise
"abstsiss, x-telg",abscissa
"kaasa haarates põgenema, peitu pugema, põgenema",abscond
"jooksik, põgenik",absconder
köie abil laskuma,abseil
"puudumine, äraolek",absence
hajameelsus,absence of mind
jooksus,absence without leave
"mitte ilmuma, puuduv ; lahkuma, äraolev",absent
loata lahkunud,absent without leave
eemale jääma,absent yourself
eemale jääma,absent yourself from
"eemalviibija, puuduja",absentee
kaugemalelav maaomanik,absentee landlord
korduv põhjuseta puudumine,absenteeism
"hajameelselt, süvenemata",absently
hajameelne,absentminded
hajameelne,absent-minded
süvenenult,absentmindedly
"hajameelsus, töössesüvenemine",absentmindedness
töössesüvenemine,absent-mindedness
absint (jook),absinth
absint (jook ja taim),absinthe
absindiõli,absinthe oil
"absoluutne, ümberlükkamatu ; absoluut",absolute
puhas alkohol,absolute alcohol
absoluutne kõrgus,absolute altitude
lennulagi,absolute ceiling
täielik kindlus,absolute certainty
kaheldamatu tõsiasi,absolute fact
absoluutne õhuniiskus,absolute humidity
absoluutne idealism,absolute idealism
"absoluutne suurus, absoluutne tähesuurus",absolute magnitude
absoluutne enamus (üle poolte),absolute majority
absoluutne maksimum,absolute maximum
absoluutne miinimum,absolute minimum
absoluutne kuulmine,absolute pitch
täielik võim,absolute power
täissünonüüm,absolute synonym
absoluutväärtus,absolute value
absoluutne null,absolute zero
"absoluutselt, lausa, lihtsalt",absolutely
absoluutselt mitte,absolutely no
täiesti õigus,absolutely right
absoluutsus,absoluteness
pattude andeksandmine,absolution
absolutism,absolutism
absolutist,absolutist
"absolutistlik, totalitaarne",absolutistic
"lunastust andma, vabastama",absolve
"absorbeerima, haarama, sisse imama",absorb
"hõivatud, süvenenud",absorbed in
mõtteisse süvenenud,absorbed in thought
imavus,absorbency
absorbent ; imav,absorbent
vatt,absorbent cotton
summutaja,absorber
"haarav, imav, köitev",absorbing
imavalt,absorbingly
"absorbeerimine, neelamine",absorbtion
"absorbtsioon, imendumine, süvenemine",absorption
neeldumisriba,absorption band
neeldetegur,absorption coefficient
neeldumisjoon,absorption line
neeldumisspekter,absorption spectrum
"imav, neelav",absorptive
"lahkuma, vaidlema, äkiliselt mujale kolima",absquatulate
keelduma,abstain
karsklane,abstainer
"karske, kasin, mõõdukas",abstemious
mõõdukalt,abstemiously
"mõõdukus, piiripidamine",abstemiousness
"hoidumine, karskus",abstention
"hoidumine, karskus",abstinence
kasinalt söömine,abstinence from food
"kasin ; karsklane, piiripidav",abstinent
"abstraktne ; üldistus, kokkuvõte ; abstraheerima",abstract
abstraktne kunst,abstract art
abstraktsionist,abstract artist
"abstraktne kääne, grammatiline kääne",abstract case
abstraktne märk,abstract character
abstraktne ekspressionism,abstract expressionism
abstraktne idee,abstract idea
abstraktne matemaatika,abstract mathematics
abstraktne nimisõna,abstract substantive
mõtteisse vajunud,abstracted
süvenemus,abstractedness
kokkuvõtete tegija,abstracter
"abstraktsioon, üldistus",abstraction
abstraktsionism,abstractionism
abstraktsionist,abstractionist
abstraheeriv,abstractive
abstraktselt,abstractly
kokkuvõtete tegija,abstractor
raskesti mõistetav,abstruse
raskesti mõistetavalt,abstrusely
raskesti mõistetavus,abstruseness
sügav tarkus,abstrusity
"absurdne, mõttetu, vaimuhaige ; absurd",absurd
absurdne mõte,absurd idea
mõttetused,absurdities
"absurdsus, mõttetus",absurdity
absurdselt,absurdly
mõttetus,absurdness
"otsustusvõimetus, tahtejõuetus, teovõimetus",abulia
tahtejõuetu,abulias
"otsustusvõimetu, tahtejõuetu",abulic
"rohkus, sisaldus",abundance
rohke,abundant
liigaasta,abundant year
külluslikult,abundantly
väärtarvitus,abusage
"solvama ; kuritarvitus, solvang, väärastama",abuse
õigusi kurjasti kasutama,abuse a privilege
ametikoha kuritarvitus,abuse of office
võimu kuritarvitamine,abuse of power
"kuritarvitatud, solvatud",abused
"kuritarvitaja, solvaja",abuser
"solvav, teotav",abusive
solvavalt,abusively
"kokku puutuma, piirnema",abut
"külgnema, piirnema",abut on
"külgnema, piirnema",abut upon
liitekoht,abutment
toestatud võlv,abutment arch
mitme piirneva maatüki omanik,abutter
piirnev,abutting
sumisev,abuzz
sügavik,abysm
"kuristikuline, piiritu, põhjatu",abysmal
"abüssaal, kuristik, sügavik, süvameri, süvik",abyss
sügaviku-,abyssal
meresügavik (2-5 km),abyssal zone
"Abessiinia, Etioopia",Abyssinia
"amhari keel, etiooplane",Abyssinian
"vahelduvvool, õhukonditsioneer",AC
vahelduvvoolu-alalisvoolu,AC/DC
akaatsia,acacia
akadeemiline maailm,academe
akadeemiline maailm,academia
"akadeemiline ; akadeemik, õppejõud",academic
akadeemiline riietus,academic costume
"akadeemiline kraad, õpetlaskraad",academic degree
akadeemiline vabadus,academic freedom
"akadeemiline rüü, kohtunikurüü",academic gown
akadeemiline asutus,academic institution
"kohtunikurüü, õpetlasrüü",academic robe
akadeemiline aasta,academic year
akadeemiliselt,academically
"akadeemik, õpetlane, õppejõud",academician
akadeemikuseisus,academicianship
"akadeemiad, erikallakuga koolid",academies
"akadeemia, erikallakuga kool",academy
Akadeemia,Academy
Akadeemiaauhind (filmikunstis),academy board
akt (mustvalge skits),academy figure
muusikaakadeemia,academy of music
arvutamisvõimetus,acalculia
nõgesleht,Acalypha
