Other,English
elektrotehnika,electrotechnical
emel,medicine
erechmen,spider
ereh,vodka
erex,wine
erne,week
ernekun,Friday
esir,you (plural)
esë,you
esë,you (sing)
"esë, ezä",thou
etem,human being
fabrika,factory
fashist,Fascist
"ferma, hutor",farm
"fevral', naräs",February
flot,fleet
galstuk,necktie
gektar,hectare
gidroelektrostanci,hydroelectric power plant
"gorn, m'jraga",horn
"gosudarstvo, patshaläh",state
grucha,pear
"haj, lesh, on-da, v'u-l, väl, väl",that
hajar,evil
hajhi,that (distant)
"hajlav, sochineni",composition
hal shiter,to have enough strength
"hal, väj",strength
halicchen,up to now
"haläh, xaläx",people
halän,thick
ham,myself
hamär,we ourselves
hapäl,reception
hapäl tu,be acceting
"harlattar, härlattar",to snore
harpär häj,each himself
harpär häjën,one's proper
hashat,gazette
hashka-,to wheeze
hatërle,make ready
havas,pleasure
havaslan,rejoice
havassän,with pleasure
"hir, ol'x",plain
hirësh,against
hirëshü,confrontation
hisep,respect
"hisep, hisep, nomer, shut, som",number
hiseple,to respect
"hitre, hühëm",beautiful
hitrelen,to become beautiful
hor,choral
"hujhä, xor",grief
hujhär,to be moan
"hula, xula",city
"hum, xom",wave
hun,Khan
hun,father-in-law
"hun'ama, hunem",mother-in-law
hup,close in
hup-hura,jet black
"hupla, xop-, xopla-",to close
"huppi, xob', xuj'r",bark
hupä sasä,consonant
hupänni,closing
hur,to place
"hur, hur, tertlë",distress
"hur, xor, xur",goose
"hura, xora, xura",black
hural,sentry
hural,to blacken
hural tär,to stand watch
huran,kettle
"hurshä, xorz', xurçä",steel
"hurän, xor'n",birch tree
hush,to command
husha,host
hushaläh,economy
hushamat,family name
hushä,interval
hushäk,interstice
"hut, tag'r, törä, türä",level
"hut, xut",paper
huta,during
hutran-sitren,at times
"hutshän-, jor-, jur-",to mix
hypar,report
hyparshä,herald
"hyr, irt-, tasa",clean
"hyr, xyr'",pine tree
hyräm,stomach
hyräm jät-,to be pregnant
hysh,rear part postposition behind
hysh,scrape
hyshshän,after
hytkukar,an ungenerous person
hytä,firm
hytä,ungenerous
häj,he himself
häjar,cucumber
"häjpät, sü-",peel
häjsem,they themselves
häju,dare
häjullä,daring
"häjär, x'um, x'um, xäïär",sand
hälash,a measure
hälashla,to stretch
hälashlan,gesticulate
"hälha, x'ulha, xälxa, xo'lga",ear
häma,stave
hämäsh,cane
"häna, xäna",guest
häpar,go up
häpart,to raise
här,dry out
hära,to be afraid
hära,to fear
häravshä,frightened
häräk,dried up
häsh,some
häshpër,certain ones
häshë,certain
hät lo!,alas!
hätar,to save
hätlan,attempt
hätäl,to find refuge
"häv, hu, vaskat-",to drive
"häva, jämra, x'uva",willow
"hävah, hu",you yourself
"hävala, x'v-, xu-",chase
hävar,to leave (transitive)
hävat,might
"hävatlä, shirëp, väjlä",strong
häväl,cavity
hävär,you yourselves
"häçan, häshan",when
"hël, hëlle, xäl, xël",winter
hën,misfortune
hëpërte,hearten
hër,to glow
"hër, xëraräm",woman
"hëracha, xär, xe'r",girl
"hërlë, xerle, xërlë",red
hërë,shore
"hërëh, xäräx",forty
"hës, x's-",to vomit
"hësërle, pos-",to press
"hëvel, xäuvel, xövel",sun
hëveltuhäsh,Far East
hüme,fence of rails
hüre,stern of ship
hütleh,security
hütë,protected
hütële,protect
"i-mën, im",you don't say!
"iaka, türem",smooth
"ial, jal",village
ianax,chin
iarän,to float
"iat, jat",name
"ijä, kar'",chisel
"ik, ikë, ikkä, ikkë, ikke'",two
ikerchë,a kind of waffle
"ikken, imësh",as it were
ikkëmësh hut,second floor
iksherën,two at a time
iksäl-,to decrease
il-,to buy
il-,to take
ilem,beauty
ilemlë,having beauty
ilemlë,literatura belles-lettres
ilt-,to hear
inshe,distant
inshetri,in the distance
institut,institute
"intereslen, käsäklan",to be interested
"inçe, v'wr'wm, v'wrax",far
"ir-, säur-",to knead
ir-zä,skinner
"iran, yran",tomorrow
irhi,morning
irhine,in the morning
irt,happen
irtënchëh,playful child
"iräl-, irël, šaran-, shärat",to melt
irëk,will
irëkkën,voluntarily
itle,obey
"iun, jon, jun",blood
"iur, jor, jur",snow
"iväl, yvul",son
izäm,grape
iš-,amble
"j'l', j'lmak, k'ugan",loop
j'l-,glitter
j'ran,furrow
j'rana,stirrup
j's,scent
j'uvan-,to roll over
j'wva,nest
j'wx,tribe
j'x,scrofula
jabal-,be on one's way
jahän,postposition approximately
"jal, shër",country
"jal-hushaläh, tështyrä hushaläh",agriculture
"jalan, jalanah",always
jalav,flag
"janvar', kärlach",January
"janäravla, janra",to sound
japala,object
japala jachë,noun
jar,to leave
jar-,to send
je ... je,either ... or
jem-jeshël,very green
"jen, pravleni",direction
jenëpe,on its side
jeple,what sort of
jeplesker,what sort of a
jer-,to follow
"jert, jes-, les-",to lead
jertüshë,leader
jesher,to become green
"jeshël, simës",green
"jevër, x'rax",similar
jevërle,immitate
jol-,remain
"jom's, jum'zä",shaman
"joman, öman",oak tree
jor-var,inner fat
"jor-var, s'uv, sam'r, samar, su, su",fat
"jox-, juh",to flow
jul,to remain
"jul', Utä",July
julashki,remaining
jultash,fellow
jultashläh,fellowship
jumah,fairy tale
juman,oak
jumanläh,oak grove
jumäsh,sorcerer
"jun', shërtme",June
junkun,Wednesday
jupa,column
"jurat, pek, sav-",like
juratu,love
jurla,to sing
jurä,song
"jus-, juz'n-",become wasted
jus-tar-,to annoy
jut,foreign
"jvät, pärah, x'um-",to throw
jyshän,to appropiate
"jyv'r, jyvär",heavy
jyväläh,difficulties
jäge,spindle
"jägev, päwlev",whetstone
jäksek,common
jäksü,sour
jäl-jäl,smiling
jälkäsh,blaze brightly
jäläm,meadow bank of the Volga
"jäner, jënerchëk",saddle
jänä,lair
"jäpshan, säran",hide
jär,trace
järgän,wriggler
"järän-, namäs",shame
järäx,sacred
"jät, shëkle",to lift
jäulme,elm-tree
jäum,trousers
jäupkäun,deep-coloured
jäuven,bridle
jävalan,to roll
jëkel,acorn
jëm,pants
jëp-jëpe,soaking wet
jëpe,wet
jëpen,to become wet
jëpet,to wet
"jër, vëren",line
"jërke, syrl'x",order
jërkele,to line up
jërkelle,normal
jëven,rein
jülege,dry grass
jünel,to cheapen
jünë,inexpensive
jüzä,acid
"k'd'r-, tiler-",to become mad
k'g'r-,to fasten
k'kä,prop of the door hinge
"k'r'š, k'rt'š",ruff
k'ub'uk,foam
"k'uk, täp, tymar",root
k'um'us,fermented milk
k'umaga,stove hole
k'umba,mushroom
k'urka,turkey
k'uvajt,brushwood
"k'uvajt, x'r'm",soot
k'uvar,glowing coals
k'uz'ur-uk,bill
k'uš,sable
"k'v, ko, ku, shak, shakä",this
kabar,gluttonous
kabina,cabin
"kach, kas, kash",evening
kachaka,goat
"kachäk, kashäk",spoon
kag'r,cartilage
kag'r,chaos
kag'r,stick with a hook
kag'r-,to belch
kag'r-t-,to bend one's neck
kag'rza vyrt-,to die out
kahal,person who is lazy
kaj'k,wild animal
"kaj'k-käš, kaj'k-käžäk",animals and birds
"kaj, kaj, pyr",travel
"kaj, sodan', xys",behind
"kaj-, kajt-",to go away
kajalla,once more
kajni,departure
"kajran, untan",then
kajäk,wild bird
"kala, kala-, puple, sol'a-, sujlaš-",to speak
"kala, te-",to say
kalaräshpe,in accordance with
kalas-,to woo
kalash,to converse
"kalashu, sämah",speech
"kalcha, përchë, tirä",grain
kalda,lizard
kam,who
kam ta pulin,anyone
kamänläh (padezhë),genitive (case)
kan,to rest
kanas,shallow
kanaš,to advise
kanaš-la-,advice
kand'r,hemp
kandi,round wooden bowl
kandidatura,candidacy
kanfet,candy
kanlë,comfortable
kantur,office
kantäk,glass
kantärla,by day
kap,image
"kapan, koba, säumel",haystack
"kapla, shavän pek, un pek",such a
kar,to stretch out
kar'k,black-cock
"kar-, os-, tort-, us-, usän",to hang
"karap, kim, kimë",ship
karas,a kind of carp
karchäk,old woman
"karda, karta, shatan",fence
karlankä,larynx
karmash,to reach out for
"kart, karta",card
karu,peg
karän,to stretch oneself
kas-,to speak roughly
"kas-, päs-",to cut
kash,to go over
kashar,excuse
kashhine,in the evening
"kashkär, kašk'r, pirä",wolf
"kashla, kërle",to murmur
kashni,every
kaska,chopping block
kasm'k,chain
kassa,savings bank
kasäl,to cut oneself up
kat-,crack
katmak,mattock
"kav'r's, kavr's",ash tree
kavle-,to chew
kaz'l-,in distress
kazah,Kazakh
kazak,sea knot
kazan,spine
kaïäk,bird
kenguru,kangaroo
"kibek, kimäk, xyv'x",bran
kil-,to come
kilelle,homewards
kilen,bride
kilogramm,kilogram
kilseren,at each and every house
kilä,mortar
"kilän-, kin",daughter-in-law
kilësh,to agree
kilëshü,agreement
kimë,boat
kino,movie
"kir-lä, s'um'ul",necessity
kirek kam,whoever
kirek mën,whatever
kirek äshta,wherever
kirlë,necessary
kirpëch,brick
kiräk,dirt on body
"kiv-, täwv-, tü-",to pound
"kivzen, tiväs",debt
kivë,old (not new)
kivë,old things
"kivë, vad', vatä",old
"klass, zan'ati",class
kofe,coffee
kollektiv,collective
kombajn,combine
komissi,commission
"kon, kun, taläk",day
"konferenci, sjezd",conference
konža,top(s) of boots
koporso,box
"kor-, kur",to see
"korga, kurka",scoop
"korol', patcha",king
kos xori,eye-ball
kos-,to migrate
"kos-sol, kushshul'",tear
kot,buttocks
kov'r',carpet
"kovak, tüpe",sky
koz'rga,whirlwind
krabat',bed
kruzhok,club
"kujan, molgach, molgas, xoran, xoren",hare
kukäl',pastry
kukär,turn
kulkala,to laugh repeatedly
kuntan,hence
kunti,local
kunëpe,all day
kupa,pile
kupala,pile up
kura,postposition thanks to
kurshanak,burdock seed
kuräk,grass
kurän,seem
kus,go back
kusem,these
kush,to move
kushak,cat
kushar,to translate
kushläh,eyeglasses
kut,backside
kut shätäkë,asshole
kuxnia,kitchen
käbakal,duck
käk6ar,chest
kälar,subtract
kälde,sheaf
