Other,English
(ż),female
"...temu, przed",ago
Aborygen,aborigine
Aborygeni,aborigines
Adwent,Advent
"Afrykanin, afrykański",African
Albania,Albania
"Albańczyk, albański",Albanian
"Algierczyk, algierski",Algerian
Amazonka,Amazon
"Amerykanin, amerykański",American
"Amerykanin, amerykański, Jankes",Yank
"Amerykanin, amerykański, Jankes",Yankee
Anglik,Englishman
"Anglosas, anglosaski",Anglo-Saxon
Anioł Pański,angelus
Apacz,Apache
"Arab, arab (koń)",Arab
"Argentyńczyk, argentyński",Argentinean
"Aryjczyk, aryjski",Aryan
"Ateńczyk, ateński",Athenian
"Australijczyk, australijski",Australian
Azja,Asia
"Azjata, azjatycki",Asian
Baran (zodiak),Aries
Bałtyk,Baltic
Bejrut,Beirut
Belfast,Belfast
Belgia,Belgium
Belgrad,Belgrade
Bermudy,Bermuda
Berno,Bern
Biuro Ochrony Rządu,Gouvernment Security Office
Bliski Wschód,The Middle East
"Blisko, niemal, prawie, z bliska",nearly
"Blisko, zamykać",close
Bogu dzięki,thank God
Boże Narodzenie,Christmas
Boże Narodzenie,Xmas
Boże Narodzenie,Yule
Boże Narodzenie,Yuletide
Bóg,God
Cejlon,Ceylon
Europa,Europe
Francja,France
Grecja,Grecce
Grenlandia,Greenland
Gruzja (in Europe/not in USA),Georgia
Gwiezdne Wojny,Star Wars
Hindus,Hindu
Hiszpan,Spaniard
Hiszpania,Spain
Japonia,Japan
"Japończyk, japoński",Japanese
Jowisz,Jupiter
"Jugosłowianin, jugosłowiański",Jugoslav
"Jugosłowianin, jugosłowiański",Yugoslav
Kair,Cairo
Kalifornia,California
Kambodża,Cambodia
Kamerun,Cameroon
Kamica pęcherzyka żółciowego,cholelithiasis
Kanada,Canada
"Kanadyjczyk, kanadyjski",Canadian
"Koreańczyk, koreański",Korean
Meksyk,Mexico
Murzyn,Jim Crow
Murzyn,nigger
"Murzyn, murzyński",Negro
Murzynka,Negress
NRD Niemiecka Rep. Demokrat.,The German Democratic Repulic
Na samą myśl o czymś,at the very
Na samą myśl o czymś,mere thought of sth
Naczelny Sąd Administracyjny,Supreme Administrative Court
Niemcy,Germany
"Norman, Normandczyk, normandzki, normański",Norman
Paryż,Paris
Polska,Poland
"Popielec, Środa Popielcowa",Ash-Wednesday
Roku Pańskiego,A.D.
Roku Pańskiego,Anno Domini
Rzeczpospolita Polska,RP
Rzym,Rome
Samarytanin,Samaritan
Stany Zjednoczone,USA
Syjon,Zion
Telewizja Polska,TVP
To się rozumie samo przez sie,it goes without saying
UKF ultrakrótkie fale,FM frequency modulation
Ulster,Ulster
Warszawa,Warsaw
Wielka Brytania,UK
Wisła,Vistula
Wniebowstąpienie,Ascension Day
Wojna Światowa,World War
Wojsko,Army
Wojsko Polskie,WP
Wysoki sądzie,Your Honour!
Wyspy Kanaryjski,the Canary Islands
Włoch,Italian
Włochy,Italy
Zwiastowanie,Annunciation
a dala,away
"a niepokojem, z lękiem, z obawą, z trwogą",anxiously
abakus,abacus
abakusy,abacuses
"abdykacja, zrzeczenie się",abdication
"abdykować, zrzekać się",abdicate
"abecadło, alfabet",alphabet
"aberracja, odchylenie",aberration
"abnegacja, wyrzeczenie się",abnegation
abolicjonista,abolitionist
abolicjonizm,abolitionism
abolicjoniści,abolitionists
aborcja,abortion
aborcje,abortions
aborcyjnie,abortively
absencja,absenteeism
"absencja, nieobecność",non-attendance
"absolutnie, całkowicie, oczywiście",absolutely
"absolutny, całkowity",absolute
"absorbować, przyswajać, wchłaniać",absorb
"absorbujący, pasjonujący",absorbing
abstrakcja,abstraction
"abstrakcyjny, abstrakcyjny, skrót, wyciąg, wyciągać (coś z czegoś), wydobyć",abstract
"abstynencja, wstrzemięźliwość",abstinence
"absurd, niedorzeczność",absurdity
"absurd, niedorzeczność",nonsense
"absurdalnie, niedorzecznie",adsurdly
"absurdalny, niedorzeczny",absurd
aby,in order to
"aby, ażeby, dla, na",for
"aby, do",to
aceton,acetone
ach!,ah
"aczkolwiek, chociaż",albeit
"adaptacja, przystosowanie się",adaptation
"adaptować, dostosować (się), przystosować (się)",adapt
adekwantność,adequacy
adiutant,aide-de-camp
"administracja, zarządzanie",administration
administracyjny,administrative
administrator,administrator
admiralicja,admiralty
admirał,admiral
"adnotacja, przypis",annotation
adopcja,adoption
adoptowany,adopted
"adoptować, przyjmować",adopt
"adoracja, uwielbienie",adoration
adrenalina,adrenalin
"adres, adresować, przemawiać, przemówienie",address
"adresat, adresatka",addressee
adwokat,barrister
"adwokat, orędownik",advocate
"adwokat, prawnik",attorney
aerobik,aerobics
aerodynamika,aerodynamics
aeronautyczny,aeronautic(al)
aeronautyka,aeronautics
"aeroport, lotnisko",airport
aerostatyka,aerostatics
"afekt, miłość, przywiązanie, schorzenie, uczucie",affection
"afektacja, pozowanie, sztuczność, udawanie",affectation
"afektowany, sztuczny",niminy-piminy
"afektowany, sztuczny, usposobiony",affected
aforyzm,aphorism
afrykatka,affrucate
agat,agate
agawa,agave
"agencja, filia, oddział, pośrednictwo",agency
"agent, pośrednik, przedstawiciel",agent
"agitacja, poruszenie, wzruszenie",agitation
agitator,agitator
"agitować, poruszać, wstrząsać",agitate
"aglomeracja, nagromadzenie",agglomeration
"aglomerat, nagromadzić",agglomerate
agnostycyzm,agnosticism
agnostyk,agnostic
"agonia, katusze, męczarnie",agony
"agrariusz, agrarny",agrarian
agresja,agression
"agresja, napaść",aggression
"agresor, napastnik",aggressor
agrest,gooseberry
"agresywny, napastliwy",aggressive
"agromadzenie, apel, montaż, zbiórka, zebranie",assembly
agronom,agronomist
agronomia,agronomy
akacja,acacia
"akademia, uczelnia",academy
"akademicki, naukowy, teoretyczny",academic
"akcelerator, gaz (w samochodzie), pedał gazu",accelerator
"akcent, nacisk",accent
akcentować,accent2
akceptacja,acceptance
"akcesoria, dodatek (do ubioru), współsprawca, wyposażenie",accessory
"akcesoria, przybory, przyrząd, urządzenie",appliance
"akcja, działanie, postępowanie sądowe",action
akcjonariusz,sharesholder
akcjonariusz,stockholder
aklamacja,acclamation
aklimatyzacja,acclimatization
aklimatyzować się,acclimatize
"aklimatyzować, naturalizować",naturalize
"akompaniament, dodatek",accompaniment
akompaniator,accompanist
"akompaniować, towarzyszyć",accompany
akordeon,accordion
akr,acre
akredytacja,accreditation
akredytowany,accredited
akredytować,accredit
"akrobata, akrobatka",acrobat
akrobatyczny,acrobatic
akrobatyka,acrobatics
"akrobatyka (powietrzna), ewolucje",aerobatics
akronim,acronym
"aksjomat, pewnik",axiom
akt urodzenia,birth certificate
akt zgonu,death cetificate
akt ślubu,marriage cerificate
"akt, czyn, działać, gra, grać (w teatrze), uchwała",act
"akt, goły, nagi, obnażony",nude
aktor,actor
aktorka,actress
"aktorstwo, pełniący obowiązki",acting
"aktualności, nowiny, wiadomości",news
aktywa,assets
"aktywnie, czynnie",actively
"aktywny, czynny",active
"aktówka, teka",briefcase
akupunktura,acupuncture
akustyczny,acoustic
akustyka,acoustics
akwarium,aquarium
alabaster,alabaster
"alarm, czujny",alert
"alarm, sygnał ostrzegawczy",alarm
albatros,albatross
albinos,albino
albo .... albo,either .... or
"albo, lub",or
album,album
"albumina, białko",albumen
alchemia,alchemy
alchemik,alchemist
aldehyd,aldehyde
"ale, zaś",but
alegoria,allegory
alegoryczny,allegoric(al)
"aleja, droga (np. do sławy), ulica",avenue
"aleja, uliczka, zaułek",alley
"alergia, uczulenie",allergy
alergiczny,allergic
alfa,alpha
alfabetyczny,alphabetic(al)
"alga, wodorost",alga
algebra,algebra
algebraiczny,algebraic
alibi,alibi
"alienacja, odstręczenie, zrażenie",alienation
aligator,alligator
"alimentacja, alimenty",alimony
aliteracja,alliteration
"alkaliczny, zasadowy",alkaline
alkaloid,alkaloid
alkohol,alcohol
"alkoholik, alkoholowy",alcoholic
alkoholizm,alcoholism
alkoholizować,alcoholize
"alkowa, altanka",alcove
almanach,almanac
aloes,aloe
"alokować, umieszczać",allocate
"alpaga, alpaka",alpaca
alpejski,Alpine
alpinista,alpinist
"alt, kontralt",alto
altana,arbour
"altanka, maszyny",arbor
"alternatywa, inny, wybór",alternative
altruista,altruist
altruistyczny,altruistic
altruistyczny,unselfish
altruizm,altruism
altówka,viola
"aluminiowy, aluminium",aluminium
"aluwialny, napływowy",alluvial
"aluwium, holocen",alluvium
"aluzja, napomknienie",allusion
aluzyjny,allusive
amalgamat,amalgam
amarant,amaranth
"amator, dyletant",amateur
"amatorski, dyletancki",amateurish
"amatorstwo, dyletantyzm",amateurishness
ambasada,embassy
ambasador,ambassador
ambasadorowa,ambassadress
ambicja,ambition
ambitny,ambitious
ambiwalentny,ambivalent
ambona,look-out (in forest)
ambona,pulpit (in church)
ambra,ambergris
ambrozja,ambrosia
"ambulans, karetka",ambulance
ambulatorium,out-patients' clinic
ameba,amoeba
amerykanizm,Americanism
amerykański hymn narodowy,Yankee Doodle
ametyst,amethyst
amfibia,amphibian
amfiteatr,amphitheatre
amfora,amphora
aminokwas,amino acid
amnestia,amnesty
"amnezja, utrata pamięci",amnesia
amok,amok
amok,amuck
amon,ammonium
amoniak,ammonia
amoniakalny,ammoniac
amoralny,amoral
amper,ampere
amperomierz,ammeter
"amplifikator, wzmacniacz",amplifier
"amplituda, obfitość",amplitude
amputacja,amputation
"amputować, odciąć",amputate
ampułka,ampoule
amulet,amulet
amunicja,ammunition
anachronizm,anachronism
anagram,anagram
analfabeta,illiterate
analityczny,analythical
"analiza, rozbiór",analysis
analizować,analyse
analogia,analogy
analogiczny,analogical
"analogiczny, zbieżny",analogous
anarchia,anarchy
anarchiczny,anarchic(al)
anarchista,anarchist
anarchizm,anarchism
anatomia,anatomy
anatomiczny,anatomic(al)
"anchoreta, odludek, pustelnik",anchorite
anegdota,anecdote
anegdotyczny,anecdotal
"aneks, dołączyć, łączyć, zaaneksować",annex
aneksja,annexation
anemia,anaemia
anemiczny,anaemic
"anemometr, wiatromierz",anemometer
"anemon, zawilec",anemone
anestetysta,anaesthetist
"anewryzm, tętniak",aneurism
"anewryzm, tętniak",aneurysm
angielski,English
angina,angina
anglikański,Anglican
anglista,anglicist
anglistyka,anglistics
anglofil,anglophile
angora,angora
ani,not even
"ani jeden ani drugi, też nie, żaden",neither
"ani...ani, też nie",nor
anielski,angelic
"anielski, anioł",angel
"anihilacja, unicestwienie, zniszczenie",annihilation
"anihilować, zniszczyć, zniweczyć",annihilate
anilina,aniline
"animacja, ożywienie",animation
"animozja, uraza",animosity
anoda,anode
"anomalia, nieprawodłowość",anomaly
anonim,anonym
anonimowość,anonymity
anonimowy,anonymous
"antagonistyczny, nieprzyjazny, wrogi",antagonistic
antagonizm,antagonism
antarktyczny,antarctic
"antena, czułek, macka",antenna
"antenaci, przodkowie, ród",ancestry
"antidotum, odtrutka",antidote
antologia,anthology
"antonim, przeciwieństwo",antonym
antracyt,anthracite
antropologia,anthropology
antropologiczny,anthropological
antybiotyk,antibiotic
"antyczny, antyk, starożytny, zabytek",antique
antydatować,antedate
antyklerykalny,anticlerical
"antykwariusz, zbieracz antyków",antiquary
antykwarski,antiquarian
antylopa,antelope
antymon,antimony
"antynomia, sprzeczność",antinomy
"antypatia, niechęć",antipathy
antypiryna,antypyrin(e)
antypody,antipodes
antysemityzm,anti-Semitism
antyseptyczny,antiseptic
antyteza,antithesis
antytoksyczny,antitoxic
antytoksyna,antitoxin
"anulowanie, skasowanie, unieważnienie",annulment
"anulować, skasować, unieważnić",annul
"anulować, uniewżnić",nullify
anyż,anise
anyż (nasienie),aniseed
aorta,aorta
"aparat, narząd, organ, przyrząd",appartus
"apartament, mieszkanie, pokój",apartment
"apasz, chuligan",apache
apatia,apathy
apatyczny,apathetic
"apel, odwoływać się, spodobać się, urok",appeal
"apetyczny, smakowity",appetizing
"apetyt, żądza",appetite
"aplauz, aprobata, oklaski, pochwała",applause
