Other,English
"cits, cits, citsak, citsak, môyhsh, moyhshak, psuk",bird
ciwi,almost
"cuk, cukánsh",farm
"cuk, cukánsh",field
cunáyu-,he is crazy
"cupanuwôk, cupanuwôkansh (pl)",tribe
"cupuwicuw, cupuwicuwash (pl)",room of a house
cupáyu-,it is a part
cáhak,where (in questions)
"cáhak kutihshá?, cáhak kutihshámô?",where are you going
cáhak kutihshámun?,where are we (inclusive) going
cáhak kutihshámun?,where are we going
cáhci,half
cáhci,partly
"cáhqin, cáhqin, cáhqinsh, cáhqinsh",a sod house
"cáhqin, cáhqinsh (pl)",sod house
"cáhqin, cáhqinsh (pl), wiqám, wiqámsh (pl)",Indian-style house
cáhqinsh,sod houses
cáhshi,how many (inanimate)
cáhshi,how many inanimate
"cáhsháyuwôk, cáhsháyuwôkansh",family
cáhsun-,it is hard
cáhsun-,solid
cáhsuw,how many (animate)
cáhsuw,how many animate
cánaw,only
"cáq, cáqash",swamp
"cáqan kutiwa?, cáqan kutiwámô? (pl)",what did you say
cáqan kutiwámun?,what did we (inclusive) say
cáqan kutus?,are you doing
"cáqan kutus?, cáqan kutusumô?",what are you doing
cáqan kutusumun?,what are we (inclusive) doing
"cáqan kutusumun?, cáqan nutusumun?",what are we doing?
cáqan kutusumô?,are you (pl) doing?
"cáqan na?, cáqan nik? (pl)",what is that (animate)
"cáqan na?, cáqan nik? (pl)",what is that animate
"cáqan ni?, cáqan nish? (pl)",what is that (inanimate)
"cáqan ni?, cáqan nish? (pl)",what is that inanimate
cáqan nutiwámun?,what did we (exclusive) say
cáqan nutusumun?,what are we (exclusive) doing
"cáqan yo?, cáqan yok? (pl)",what is this animate?
"cáqan yo?, cáqan yosh? (pl)",what is this
cáqan yosh? (pl),what is this (inanimate)
"cáqan, cáqan, cáqansh (pl), cáqansh (pl)",something
"cáwhki, cáwhkish",a point
"cáwhki, cáwhkish (pl)",a minute
cáyhqatum-,be in a hurry
côci,have to
côhtam-,want it
"côq, mucôqak",spirit of a living person
hkasak,hoofs
"hkunôk, m'hkunôkansh",head
"hpicák, n'hpicákansh (pl)",rib
"hpôyák, m'hpôyákansh",breast
"hpôyák, m'hpôyákansh",chest
"hshum, n'hshumak",daughter-in-law
"htawaq, n'htawaqash",ear
"husihs, naynayoûmewot",horse
husihsak,horses
háhanu-,he laughs
i,to
i-,do
"ic, nicish",hand
"icuk, nicukansh",finger
"ihsums, nihsumsak",younger sibling
"ihsums, nihsumsak, ntôyuks, nuntôyuksak",brother
"ihtôqat, ihtôqatash (pl)",story
"imat, nimatak",man's brother
"in, inak (pl)",man
inkáwi,Right side
inkáwi,to the right
"inpáwôk, inpáwôkansh (pl)",tobacco
"inskitôp, inskitôpák (pl)",Indian
"inskitôp, inskitôpák (pl), skitôp, skitôpák (pl)",human
"inôk, inôkansh",handle
"isu-, isu-",he is so
it kotunihto,add to it
it kotunihto,increases
"itôps, nitôpsak",man's sister
"itôps, nitôpsak",sibling of opposite sex
iwá-,he says
iwômu-,it says so
iwômu-,signify
iyo,now
"k'hpáy, k'hpáyash",woods
kaci,already
kacihto-,finish it
kaciy-,come out of
kakiwá-,be drunk
"kamuq, kamuqsh",building
"kamuq, kamuqsh, kamuqsh (pl)",an artificial enclosure
katawi,about to
katawi,going to
katukôm-,be sleepy
katumu-,it is a year
"katumuw, katumuwash (pl)",year
katunum-,take it off
kaukont,raven
kawi-,asleep
kawi-,sleep
kayoy-,speak to him
"ki, kish",dirt
"ki, kish",earth
"ki, kish (pl)",land
"ki, kiyaw (pl)",you
kicá-,better
kicá-,he recovers
"kihcapun-, kihcapun-",torment him
kihcá-,do planting
kihcáwôk,planting
"kiht'han, kiht'hansh (pl)",ocean
kiht'hanupáq,seawater
kihtam-,listen to it
"kihtamoq! (pl), kihtamsh!, kihtaw!, kihtôhq! (pl)",listen!
kihtamutuk!,let's listen to it
kihtaw-,listen to him
kihtawôtuk!,let's listen to him
kikátohká-,speak
kikátohká-,talk
"kikátohkáwôk, kikátohkáwôkansh (pl)",word
"kinakinik, kinakinikansh (pl)",window
kinum-,carry it
kipi,hastily
kipi,in a hurry
"kipi, kipi, kipshô-, skisho, skisho",quickly
kipshô-,go fast
kipunum-,harvest it
"kipunumuwôk, kipunumuwôkansh",harvest
kishtutu-,wash oneself
kisi,after
kisi,completed
kisi,finished
"kisk, kiskash",day
"kisqutu-, musqôhtam-",angry
kisukat-,it is day
kisuq,heaven
kisuq,sky
kisusq,sun
"kitiyawôkak (pl), kitiyawôkak (pl), kitiyayôk",being alive
"kitiyawôkak (pl), kitiyayôk",vital force
"kitiyawôkak, kitiyayôk",living
"kiyamô, kiyamôk (pl)",spoon
kiyawun,we (inclusive)
kiyo,earthward
"kohq, kohqak",kettle
"kohqihs, kohqihsak",small cooking pot
"kohqihs, kohqihsak (pl)",small kettle
"kon, konak (pl)",snow on the ground
koohookhomwem,owl
"kopayáhs, kopayáhsak",frog
kotum-,teach him
kotumcá-,teach
"kow, kowák",pine
kucshun-,begin
kucshun-,start
kucumôkusu-,he is pitiful
kucumôkusu-,wretched
kucusum-,clean him
kucusum-,wash him
kucusuto-,clean it wash it
kucusuto-,wash it
kumotu-,steal
kunam-,look at it
"kunasuwôk, kunasuwôkansh",sign
"kunasuwôk, kunasuwôkansh (pl)",mark
kunaw-,look at him
"kupat, kupatunsh (pl)",ice
kupham-,shut it
kupqat-,it is cloudy
kupqat-,overcast
kupáyu-,it is closed
kupáyu-,it is shut
kusaputá-,heated of substances
kusaputá-,it is hot
"kusawasikamuq, kusawasikamuqsh",casino
kusawasu-,gamble
kusawasu-,play at a betting game
"kusawôk, kusawôkansh (pl)",skirt
"kusiwôhtumumun, nusiwôhtumumun",We are sorry
kuski,near
kuski,next to
"kuski nahak mátapiq (pl), Kuski nahak mátapsh!",Sit by me!
"kuski nahak mátapiq (pl), kuski nahak mátapsh",sit next to me
"kuski nahakánônak mátapiq (pl), kuski nahakánônak mátapsh",sit next to us
kusutá-,it is hot of weather
kusápusu-,he is hot
kutomá-,sing
"kutápatamush, kutápatamuyumô (pl)",I thank you
kutápatamuyumun,We thank you
kuwihqitumôsh-,please
kuwômôyush,I love you
"káhsh, káhshunak",cow
"káhôk, káhôkak",goose
kôcto-,hide it
kôcuci,little bit
kôcuci,only a little
kôkci-,huge
kôkicá-,he is well
"kôkicá-, kôkicash!",be well
kôkuton-,thirsty
"kôkuw, kôkuwansh (pl)",legging
"kôkuw, kôkuwansh (pl)",stocking
"kôkôc, kôkôc",crow
"kôq, plural kôqak",porcupine
kôskáyu-,rough
"m'hpsquansh, n'hpsqan",my back
maci,bad
"maci, macitu-",wicked
macitu-,it is evil
macush,last in order
makowôk wuci inpáwôk,An offering of tobacco
"makáyu-, sháyu-",it is big
mam-,take him
mam-,take it
"manotá, manotásh",basket
"manto, mantowak",god
"masqusit, masqusitash",bean
masqusitôp,bean liquid
matapu-,be seated
matapu-,sit down
"matôpi, matôpish (pl)",tumpline
"matôpi, matôpish(pl)",pack basket
"matôpáwôk, matôpáwôkansh",evil deed
"matôpáwôk, matôpáwôkansh (pl)",transgression
mawi,go and
"mayom, mayomunsh (pl)",wild rice
mayuni,slowly
mayuni,softly
micu-,eat it
"micumikamuq, micumikamuqsh",barn
"micumuwôkansh (pl), micumwôk",vegetables
"micuwôk, micuwôkansh",food
"micáhs, micáhsak",glove
"micáhs, micáhsak",mitten
mihki,strongly
mihkiku-,he is strong
mihkun-,hold him
mihkunum-,hold it
mihkáyu-,it is strong
"mihtuq, mihtuqash, wuyacásq, wuyacásqash",tree
mikash,lodges
mikiskutu-,be lazy
"mikucut, mikucutash",dung
"mikucut, mikucutash",feces
"mikucut, mikucutash",manure
"mikucut, mikucutash",shit
miqun,feather
"mishánneke, mushaniq, mushaniqak (pl)",squirrel
"misiq!, misum!",give it to me
misunán,give it to us
mitsu-,dine
mitsu-,eat
"mitsuq!, mitsush!",Eat!
mitsutuk!,Let's eat!
"mitsuwôk, mitsuwôkansh (pl)",meal
miy-,give it to him
miyac,left side
miyaco,leftward
moh-,eat him
mohci,certainly
mohci,definitely
"mohiks, mohiks-inak (pl), mohiksak",Mohegan
mosáyu-,smooth
"moyahikaniw, moyahikaniwak (pl)",Mohegan Indian
"moòs, mos, mosak (pl)",moose
"muchquashim, muks, muksak (pl)",wolf
mucimi,always
mucimi,forever
mucáq,nothing
"mukacuks, mukacuksak",boy
mukunum-,gather it
mumuqunum-,rub it
"munhan, munhansh (pl)",island
"muni, munish (pl)",money
"muqs, muqsak",awl
"muqutôkansh (pl), qutôk",throat
mus,future marker
mus,will (future marker)
mushaki-,he is great
"mushapqáhs, mushapqáhsak (pl)",rat
"mushoy, mushoyash",boat
"mushoy, mushoyash",canoe
mushuyôn,there is a great rain
"mushôc, mushôcák",lobster
muskam-,find it
muskaw-,find him
"musqaniks, musqaniksak (pl)",red squirrel
"musqayan, musqayanák (pl)",red-tailed hawk
musqi,blood
musqisu-,he is red
musqáyu-,it is red
