Other,English
düme-,to be barely sufficient
dünge,neck cangue
dünjë-,to become dull
dürbe(n),four
düre,"ring in bull's nose, outlook"
düre-,"to stick into, flame"
düren,full
dürge-,flame
dürö,stirrup
düxe-,move closer
düše(n),forty
düžel-,suspend
eb,co-operation
ebde-,to break
ebel-,to flow
eber,horn
ebigel,to protect
ebxe-,to bend
eby,mother
ede-,"to eat, to become sour"
edebxi,activity
edi,energy
edxe-,tanning stuff
edür,trough
egelej,not very good
egeše,elder sister
ehe,not
ehe-,to pickle
ehen,soot
eje,quietness
elbe-,rub
elbeg,abundance
elde-,to dress
eldeb,every kind of
eldin,relatives
ele-,to rub off
elge(n),liver
elge-,to send
elhe(n),sand
eli,"new-born deer, obvious"
eli-,to soar
elë,kite
elše,warmth
elžege(n),donkey
em-nï-,to castrate
eme,woman
emir-,to spin
emni-,to mark cattle
emë-,shy away
emël,saddle
en(g),width
ende-,to be mistaken
ene,this
enel-,to suffer
enger,front (of cloth)
enxe,quietness
enë-,to laugh
er,blade
erbexej,butterfly
ere,man
eren marän,variegated
ergen,people
ergeneg,cupboard
erimeg,edge
erje,steep bank
erje-,to go round
erte,early
erxy,thumb
erü,chin
erüde-,to torture
erüdelge,crime
erül,sober
ese-,tired
esege,father
esxe-,slice
ete-,to pick
exe,mother
exi(n),head
exir,ikire
exün,bitter
ezen,host
ezgej,cream
eše,"beginning, stem"
eše-,"to lie in a hole, to be ashamed"
ežel,identical
gabjä,care
gabšgaj,skilled
gagsa,alone
gaj,woe
gajxa-,marvel
gal,fire
galgi-,to walk slowly
galzü,rabid
galü(n),goose
ganaj-,to sit back
ganajlza-,to sit back
gani(g),berserk
gansa,alone
gar,arm
gara-,to go out
garan,more than
gasür,bough
gatal-,to cross over
gaxï-,to bow
gazar,land
gašün,bitter
ge-,"say, to lose"
gedehe(n),intestines
gedy-,to hog
gegë(n),daylight
gely-,to be astonished
gelžy-,to trend
gem,defect
gemše-,to regret
gende,male sable
gene,unexpected
ger,house
gerel,light
gerë,agreement
gerše,agreement
gete-,lie in ambush
getel-,to cross over
gezege,plait
gešegenë(n),potentilla anserina
gešü(hen),branch
gežegendehe(n),tickle
gobil,chute
godli,a k. of arrow
godod,fur on animal's paws
godogor,sticking out
godoj-,sticking out
godon,fur on animal's paws
gogod,a k. of wild leek
gojo,good
gol,centre
golo-,to be unhappy with smth
golï-,gross
gori,hope
gorxo(n),stream
goxo,hook
