Other,English
cä-,beyond
"cä-, cahän",to become white
cäsn,paper
cävë,groin
cäwdr,yellowish
"cëžë, chëžë, öpchün, öpcün, örë",breast
cö(k)n,few
cöb,dregs
"cökë-, cökr-",to lose all hope
cöl-,to pierce
cöm,entirely
cöms,cornel
"cömë, šanëh",scoop
cörm,pond
cöxër,spotted
cü,rumour
dabki-,to hurry along
"dad-, das-",to get accustomed
"dadn-, düdn-",growl
"dajär, xö",all
daldë,secret
"dalng, därë",withers
"dalwlzë-, delwlzë-, dolhän",wave
dalwä-,to be flat and wide
dalä,ocean
dalë,shoulderblade
dalë,warm shelter for large cattle
damnë-,to hesitate
dar-,to press down
darwä-,to gape
darän,in a row
"daw-, dawän",cross (a mountain)
dawsn,salt
daxë,coat
"daxë-, namnë-",to follow
"dege, hoxë",hook
degle,heron
"degle, dewl",facing
"del, mundä, serwë",crest
del-,to expand
del-,to strike
delgr,full
delwl-,break through
delënch,midge
delëng,udder
delün,spleen
demir-,to become worse than smth.
denž,terrace
deptë-,become wet
derwë-,swing
"derë, derm-deg",cushion
"dew-, dewür",to wave
dewsë,saddle cushion
dewsë-,to lay
dewé(n),pasture
dok-,to make a sign
"dokšn, toš-",ferocious
dol-,exchange
dolä-,to lick
dolänë,mayflower
dom,magic
dongëd-,rebuke
dorë,below
dorü,emaciated
dotr,inside
"duhërhë, tögërëg",round
"dulän, kölchë-",warm
dundë,middle
durn,intent
dursn,liber
"duxë, gižëgë",back of the head
dä-,take responsibility
däkr-,to become tangled
däkën,one more time
dän,war
dänggë,generation
där-,become cold
"där-, nökcé-",to pass
därgl,rapid current
"däwl-, narmëlžë-, sewë-",sway
däšl-,to present
"dë-, degdë-",above
dïl-,to win
döchn,forty
döke-,move closer
dölen,peaceful
döli-,to bend backwards
dölë,flat surface
dör,ring in bull's nose
"dörse-, ömr-",to shrink
dörwn,four
döré,stirrup
dü,younger sibling
dül-,to spend the night
düle,deaf
"dülhë, dülxë",helmet
dülhë-,listen
dün,song
"düngge-, düngsï-",to become dull
dünggï-,be silent
dür-,to stick into
"dür-, melme:-",to be full
"dürwë-, nülë, zälë",flame
düs-,to finish
düzl-,suspend
eb,co-operation
ebdë-,to break
ecë-,tired
ecëgë,father
egdütë,indignation
egl,uneducated
"egëchë, ekchë",elder sister
"egün, ekün, hašün",bitter
"ejë, engkë, žim",quietness
ekn,front
"ekë, ewë",mother
el,relatives
el-,to soar
"el-, šudr-",to rub off
eld-,to dress
"eldëb, elédë",every kind
ele,kite
"elgn, elkn",liver
elsn,sand
elwëg,abundance
"elžngne, elžngnë",donkey
em,collarbone
eme-,to be timid
emel,saddle
emë,wife
emë,woman
emëg,ring
endëgdë-,to be mistaken
eng,width
"enggë, enggr",shore
"enl-, ges-, ges-, tür-, zow-",to suffer
enë,this
"epkë-, öngkr-, öwdëg",to roll
eret-,riffle
ergi-,to go round
ergë,steep bank
ergënëg,cupboard
erk-,to vesicate
erke,thumb
"erm, zulng, zülng, zultrhën",wormwood
ertë,early
erweke,butterfly
erë,man
erü,crime
erül,sober
"es, üle",not
"ewr, öwr",horn
ezge,curd
ezn,host
ešn,beginning
"ge-, gé-, gí-",to speak
gedrgë,back
"gegën, gën",daylight
gekë-,to bow
geldr-,to walk slowly
gelmë-,to be scared
"gem, seb",defect
gemši-,to regret
gendn,male of animals
gentë,unexpected
genë-,be naive
ger,house
"gerl, šinggn",light
gerë,agreement
gerë šüdn,cheek bone
geskë,fish-eagle
gesn,intestines
get-,lie in ambush
"getl-, hatl-",to cross over
gešün,branch
gilchï-,to bevel
gils-gils giž xël-,look askance
"gilëg, gilen, gilgr",glittering
"gilï-, gilwë",glitter
gižngne-,tickle
"gorwë, gurwë",carving
gujr,flour
guriad-,starving
gä,woe
"gänr-, mongxü, mundr, munë-, mungxëg",to become mad
gäwa,efficiency
"gïgn, gïkn, gïn",shallow
gö,good
gögdëgr,lofty
gölgë,young dog or cat
gölm,net
"gönggn, künggn",light (not heavy)
"gör, nä, nätëg",hope
görd-,to deny
"göre, göresn",antelope
göw-,strike
"göwe, güwe",mound
"gü-, tergl-",flee
"güldi-, köll-",to harness
gün,deep
gün,mare
"gür(ë), xürsn",nit
gür-,spin
güren,front part of the throat
"gütkë-, güžr-",to be energetic
hacürë,noble fir
hakcë,alone
hal,fire
halgë,be ashamed
halzü,rabid
halün,goose
handä-,to be bent
har,arm
har-,to go out
"harn, ilu, ülu",more than
hazr,land
"hodä-, hodhr",sticking out
hodëli,a k. of arrow
hohësn,a k. of wild leek
hol,centre
hol-,to be unhappy with smth
holhr,gross
"holmtë, hulmt, züxë",hearth
horoxa,stream
hosn,shoe
howl,chute
"howë, höwë, howi, huw, kérë",desert
huchn,thirty
hudës,downward
hudï-,to lower
huldë-,slide along
hunë-,anxious
hurwn,three
