Other,English
gäri,to regard as undesirable
gäri',to shake
gäro,clamour
gäsat,to murder
gäsoi,almost hit
gäsok,to search
gäta,inside
gäten,be exposed
gätha',be dry and brittle
gäthap,to add
gäthe',to drop
gäthep,close as against a support
gäthok-gäthak,brawl
gätu',to show agitation
gäwa,to bite
gäwut,blow with mouth
gäšin,to wash
gäšoi,to fly
gäšun,to coerce
gúm,adequate
gü,father-in-law
hkan,three
hkanhte,three
hkri,three
hning,be green
ho,to preach
hring,be green
hru,to suck
ing,to stand as water
ip,sp. of horse-leech
ja,"millet, to give, that"
ja',a day
jai,to scatter
jam,"a jar, to enslave"
jam,itch
jan,"be unrolled and spread out, tall"
jang,luxuriant
jau,be mixed
je,be shaggy
jen,shear
jeng,to swing
jet,be energetic
ji,be small
jin,to be turned around
jing,to pierce
jip,cover
jo,float with the stream
jok,to eat
jom,growing less
jom,to trap
jon,be pointed
jong,float with the stream
jong,the whole
ju,"all, mouse"
ju,"observe, all, semen, to meet"
ju',go down
jum,to enslave
jun,to leak
jun-mang,a gong
jup,"to sleep, to gather"
jà,wild goat
jám,a k. of salt
jänam,rainy season
jú,retire
ka,"be dried up, to write"
ka',an open basket
kam,be willing
kam,to believe
kan,"coagulated, belly, sulphur, to put"
kang,"be dry, tense, a pass"
kat,"run, as a garment"
ke,be scarce
kha,bitter
kha',to be parted
kha'-khong,a ditch
kha'-leng,a wave
kha'-long,a pond
kha-kom,a shore
kha-nin-gam,bank of a river
kha-thung,a well
khai,"be hooked, to plant"
khai,to plant
kham,"be well, to accept, to trap"
kham-wam,precipice
khan,"a place, gallop, taxes, a wild cat, to follow"
khang,"durable, bandage, to steer, to stink"
khang-khji,leopard
khap,to carry
khat,"an outer passage, to contend"
khau,curved
khet,crafty
khja,"be as two of a kind, prepare glutinous rice"
khjam,as yarn on a shuttle
khje,be aslant
khje,"be aslant, red"
khjem,to prepare
khjen,"to scrape off, to prepare, be wound"
khjen. gjen,ice
khjeng,be aslant
khjeng,"be aslant, crimson"
khjet,evaporate
khji,"sneeze, excrement"
khjo,be alike
khjok,present a petition
khjot,to banish
khju,mantra
khjéng,be aslant
kho,to preach
kho',be concave
kho',to spill
khoi,"to surround, borrow, shellfish"
khom,to travel
khon,"soak through, fall down from an elevation, cudgel"
khong,"to be coiled, two, lay aside, a ditch"
khong-khong,curved
khot,to cut
khra,"a large cricket, right side, tripod, season"
khrai,to bridge
khrai,to bridge
khrak,be good
khran,to fell trees
khrang,"a limb, the mustard plant, to speak plainly"
khrang-ma,wild goose
khrap,to weep
khrat,fall from an elevation
khren,be pierced through
khreng,to have lost taste
khret,to rasp
khri,paternal aunt's daughter
khri,sour
khri',to braid
khring,to delay
khrip,to act in unison
khrit,fear
khro,concur
khrop,be dry
khru,"a bird of the genus columba, be good, to descend"
khru-du,a bird of the genus columba
khrum,to fall
khrung,to live
khrut,"wash, whetstone, to snatch"
khrám,to trail
khráng,form
khu,"be smoky, opening"
khu',become friends
khum,be complete
khum,"to prohibit, pumpkin"
khum-pai,the spleen
khun,"be drying, twenty"
khut,scrape
khwak,be concave
khám,bear
khädon,a k. of cricket
khägrui,dirt
khäla,a k. of yam
khäla',to wound
khälem,to deceive
khälen,to pass along
khäro',ravine
khäto,a sp. of lark
kindum,a knot
kja,make fun of
kje,be scarce
kjeng,be aslant
kjet,be empty
kjet,be ended
kji,small
kjin,feel stiff
kjit,girdle
kjom,terrified
kju,favour
ko,"be bent, a tusk, to show reverence"
kom,"to fear, to side with"
kon,to cuddle down
kong,"a tusk, extended"
kong,an elevation
kop,"completely, a crust"
kot,pass over
kra,to warm one's self
kram,be bitten as by sand flies
krang,be distinct
krap,a bed-bug
krau,"dig out, to dig out"
kre',be finished
kreng,a vital part
kret,to gnaw
kri,"as a top, all by itself"
krim,to act in unison
krin,naked
kring,be firm
krit,to grind
krit,to grind the teeth
kro,the inside of the chest
krot,be crowded out
kru,have an inordinate appetite
kru',six
krum,to trim
krung,a valley
krut,to gulp down
ku,"be bent, respect"
kumrang,horse
kumšu,sugarcane
kun,coil
kun,side of a Kachin house
kung,to branch
kung-li,a bow
kup,be entire
kãp,adhere to
kä,"good, lie down"
kä,worm
kä-un,to crawl
käbo,steam
käbram,to shine
käbrong,to bob up
käbrum,to meet
käbun,stir in order to mix
käca,father-in-law
käcan,to sift
kächan,to instigate
käche,to scold
käcot,to jump
käding,to fall
kädon,a k. of cricket
kägam,clay
kägan,gallop
kägjin,ants
käja,to itch
käjau,mix
käjin,to turn around
käjun,to leak
käkhru,a bird of the genus columba
käkhum,pumpkin
käkhun,the white ant
käkjin,ants
kälang,bird of the falcon family
kälep,to slice
kälet,as sweat
kälip,to singe
kämu,mushroom
käna,an elder sister
känam,sister-in-law
känga,to bend
kängat,be bent
känin,feel stiff and aching
känom,hoard
känu,minute worms
känu,pattern of carving
käpa,"to mend, to run as a frightened"
käpat,close
käphra,be trrified
käphram,taste of spices
käphrut,broken
käphu,elder brother
käpram,to shine as the sun
käprap,as lightning
käpun,to spring
kära,"be thirsty, the hair on the head"
käran,be loose
kärang,whey
kärap,lower screen over fireplace
kärot,"a sp. of cricket, to draw"
käsang-son,jungle lizard
kätan,overhelmed
kätham,cut
käthan,forehead
käthet,be hot
käthi,to sneeze
käthok,touch anything
käthong,village
käthuk,to hit against as in dark
kätip,to singe
käwa,bamboo
käwa,father
käwan,to encircle
käwin,turn round
käwu,below
käzhan,sister
käzhang,to arrange
käzhu,forever
käzhut,forever
käša,a child
käšan,to suffer
käšu,grandchild
käšung,cold
la,"to wait, accept, to flash"
lago,leg
lagum,sp. of fig tree
lai,"pass, to dig, custom"
lai',the tongue
lakum,sp. of fig tree
lam,to measure by fathom
lang,to carry in the hand
lap,"be turned, leaf"
le,"turn over, be glazing"
lem,be talkative
lem,to deceive
lem,to munch
leng,"bright, be projecting, a wheel, billow, lie down"
lep,to slice
let,again
li,"heavy, servant, seed, boat"
lo',much
loi,be long and narrow
loi,easy
lom,"be filled to overflowing, to accompany"
long,an enclosure
long,to stake
long-,a coat
lot,to escape
lu,be able
lu,"possess, be able"
lu,to give
lu',to drink
lu-na,can
lui,as water
lum,"be entire, be round"
lun,aching
lung,ascend
lungbra,rock
lup,grave
lá,a male
lám,path
lä,two
lä mjin,fingernail
lä ti,nose
läbjing,outside of the ears
