Other,English
shichuutyàa t'iinch'uh kwàa,it is not my cup
srii nii'aih kwàa,it is not sunny
sheenjit gwinìidhah kwàa,it is not warm for me
ahtr'aih kwàa,it is not windy
ch'ìitaii ahchìn,it is raining outside
gwiintl'òh k'oh t'eh gòo'àii,it is really cloudy
gwiintl'òh hee ahchìn,it is really raining
chìitaii shshih kwàa,it is snowing
chìitaai gwinìik'òo,it is snowing outside
sreendìt nìgwìniidhàt,It is springtime
Sree nanh',it is starting to freeze
tht'aih k'oh t'eh gòo'àii,it is still cloudy
tth'aih gwinìik'òo,it is still cold
shin gòo'àii,it is summertime
srii nii'àii,it is sunny
chìitaii srii nii'àii,it is sunny ouside
sheenjit gwinìidhàa,it is warm for me
da'ootå'ii,it is weaved
ahtr'àii,it is windy
chìitaii ahtr'àih,it is windy outside
Adaghoo,it lays eggs
gwinìik'òo,it's cold
gwinìidhàa,it's hot
zrèe',its month
chìtaii gwinìidhàa,It's warm outside
Vitoh gwichùudhat,January
Sree vananh åanatr'aadal,July
Sree nành Adaghoo,June
Deetrèe jàk,Juniper
Kevin troo oo'ee nadeechàa,Kevin is carrying wood
Kevin vilìk aachin yàa'ìi,Kevin's dog is watching him
at'àn nahshìi,leaves are growing
oodhadhohch'èii,listen (pl)
oodhadhahch'èii,listen (sg)
gwinoh'ìi,look! (pl)
gwinah'ìi!,look! (sg)
dichádh,lose feathers
Kwàn' nahtsìi,make fire!
"dinjii, tinjih",man
dinjii shoh eenjit nàtaazrìi,man's going hunting for bear
Tadhaa zrèe',March
Sree vananh åâîî yichii,May
shint'eh sheenjit gwiinzìi,me too I'm fine
Drin Tsal zhìt shòh ohlìi,Merry Christmas
Ne'gwâh'eh,Misty
dzhirh,mittens
Drin tå'êê,Monday
"Sree, Sreenanh",month
Ddhah,mountain
àn gijaandhàt,move over (sitting)
àn!,move over!
"lidii maskeg, lidii maskig",Muskeg Tea
shizheh,my house
Shoozrì Mary-Jane vàazhìi,My name is Mary-Jane
Drin Choo,New Year's Day
vanchòh nah'oh zhàk dhitin,nine
akwa',no
Dyee,north
Yikêîh,northern lights
gwahaljìi,nothing
Dachan khyàh nìtr'iinlii zrèe',November
"choog, jùk",now
Sree nanh' tàdiditshìi,October
Vananh,on it
nakhwazheh,our house
Vitoh,over it
khah,packsack
Nan kak tsìnehdanh gòolì,Peace on Earth
Peter nìhìlzrii,Peter is going to hunt
Peter dinjik ayahk'èe,Peter misses the moose
Petere dinjik k'ìh gwanah'in,Peter sees the moose tracks
tshin,Rain
Gudeedrii da'ootå'ii,Rainbow
Ts'eenakal,Raspberry
Eneeyùu,Red currant
ts'iigyùu nahshìi,rhubarb is growing
Drin yeet'yee,Saturday
Sree nanh nè'tandijyaa,September
a'àa,she is eating
ootsik àa,she is eating dry fish
kwàn' ahtsìi,she is making a fire
kaiitrih ahtsìi,she is making moccasins
adhòh ahshìi,she is tanning a hide
ookàt zheh gwits'àt ahàa,she's walking to the store
"dhiindìi, dhoodìi",sit down
jìdhooch'èii,sit down (pl)
nihk'iitik,six
zhoh,snow
Nuu,south
Gudeedrii,spider
Dâîî,Spring
Ts'iivii,Spruce
"naa'èe, noo'èe",stand up
shin,Summer
Sree,sun
Na'eeda'aa,sun is starting to rise
Drin zhit,Sunday
Sree nii'êîî,Sunshine
adak'ànootìi,take care of yourselves
mahsì,thank you
chyaa ahàa,the boy is walking
nanùht'ee nahandit'èh,the butterfly is flying around
tr'iinin tsal aachin yaa'ìi,the child is watching her
Niht'yeedi'ee,the cross
