Other,English
lüt,to save
ma,used in negative
mang,overclouded
mang,to die
mik,the eye
ming,a word
mlem,face
mo,mother
mong,dream
muk,brushwood
muk,overclouded
mung,an evil spirit
mung-ma,an evil spirit
mut,be finished
myók,a son-in-law
mä,no
mä,pray to God
mä-ri,dirt
män,cooked
mät,hair
mät,to blow
mí,fire
mít,a female
mó,a cut
món,many
mün-mün,brown
müt,to blow
nap,night
ngak,to see
ngan,to sit
njal,the gums
njel,the gums
njen,breast
njeng,to be fast
nji,the day
njir,to growl as dog
nju,an aunt
njur,to growl as dog
njáng,to vibrate
njäk,to cause to shake
njät,two
njí,to exist
njí,two
njó,to be sore
njól,to be soft
njóm,daughter-in-law
njóm,to smell
njór,to grunt
njüng,to be deep
nom,to smell
nóng,go
nüp,covered with water
o,that
om,shine
om-bo,illuminating
pa-dam,together for more easy
par,buy
pä-mang,overclouded
päk,to be cut off
póng,deaf
rem,quick
rim,cane
rok,dry bamboo
ru,to be old
rut,to slip
räng,to watch
rí,belt
rít,to distribute
ról,roll round
róng,Lepcha script
rük-lók-lä,red
sa-hór,star
sa-li,arrow
sak,louse
sam,three
so,"rain, thread"
so-mut,wind
sung-gang,penis
sâ-thang,tiger
sä-käl,turning and twining
sä-ro,goat
särjom,otter
süm-brjong,common fly
süng-mut,wind
süng-tong,deaf
ta-bak,abdomen
ta-djung,the ventricle of stomach
ta-go,jacket
ta-hi,crab
ta-lap,sort of bamboo-vessel
ta-ryok fo,the blue-horned pheasant
tam,"plain, truncated"
tam-chat,offerings
tam-pu chen zo,a spec. of zo (rice)
tan,to be short
tang,be thick as anything
tap,fist
tar,be level
tat,notched
tek,be on service to
tel,to terminate
ten,to be short
tha,to eat
tham,drinking cup
tham-pü,drinking cup
thang,"to drink, above"
thek,to divide
thik,penis
thjang,to plant as tree
thjo,hear
thjong,buttress of tree
thjór,let go
tho,to arrrest
tho-m,place
thong,"to drink, foot"
thor,"escape, be plump as child"
thu,degree
thu,elbow
thyak,to know
thyeng,to pull out
thyor,flabby
thyám,to precipitate
thyän,to laugh
thyóm,to precipitate
thán,to discharge
thä,grand-child
thí,to reach
thí-t,to reach
thó,a large expanse
thók,to reach the height
thóp,answerable for
tik,sparkling
tik-ka tik-ka,sparkling
ting,a twig
tir,to move
tjam,to apply medicine
tjan,to drink
tjang,universal
tjir,to move
tjol,village
tjuk,to expectorate
tjum,bunch
tjä,small as from a distance
tjä-lä tjä-lä,small as from a distance
tjäk,little
tjäp,to knot
tjär,to move
tjók,to come in
tjót,to chop
to,"above, what"
tok,head
tol,heavy-rumped
tong-mung,of evil spirit
tong-tong,deaf
tor,to flee
tuk-chek,the bottom of anything
tuk-chim,a cup
tuk-pat,knee
tung,to rest on stick
tung-kjang,a corner
tyän,not to permit to go
tyól,to be in company
tyük,to turn upside down
tyüng,to turn upside down
ták,what comes first
tál,to take away
tä-a,that there
tä-bóng,spec. of water-plant
tä-do,one's self
tä-fük,abdomen
tä-für,spec. of beetle
tä-go,jacket
tä-grju,the cheek
tä-gro,of an evil spirit
tä-góng,kind of a bird
tä-ljam,spec. of wasp
tä-ljang,the high place
tä-ljang bü,a spec. of worm
tä-o,that there
tä-rel,lower part of outside-wall
tä-räk,six
tä-ról rik,of a creeper
tä-tjä-lä,small as from a distance
tä-á,that there
tä-ä,that there
täk,what comes first
täkli,entrails
tälam,testicles
täng,all country below the source
täng-tek,cup formed of bamboo
tën,be bare
tí,"to be great, egg"
tók,dropping from tree
tóng,covered with dirt
tü,anus
tük-bróng,the hip
tük-gar,black ant
tük-gro,of an evil spirit
tük-ling,neck
tük-men,the white ant
tük-pung,shoulder
tük-tok,neck
tük-täk,boiled mixture
tüng,the cushion of hand
tüng-bo,a box of bamboo
tüng-djär,cricket
tüng-dyóng,large basket
tüng-grjam,basket for fowls
tüng-góng fo,kind of a bird
tüng-kjóng,stick-insect
tüng-kí,sparrow-hawk
tüng-ling,neck
tüng-mel pót,a musk-melon
tüng-men,the white ant
tüt,the knuckles of hand
tý-m,to be great
ung,water
vei,left
vi,blood
vot,honey
väng,wide
vóm,salt
zak,to hit the mark
zhak,"to hit the mark, to titillate"
zham,accuracy
zham,"to immerse, to collect"
zhang,a rising hill
zhap-pa zhap-pa,quick with fingers
zhil-la zhil-la,pure
zhir-ra zhir-ra,shining
zhit,urine
zhu,a thorn
zhup,to be close together
zhur-ra zhur-ra,shining
zhár-ra zhár-ra,showy
zhäm,entire
zhäm-mä,entire
zhí,sand
zhíp,to crush
zhóng,a rising hill
zon,grandchild
ä-hrjän,tall
ä-mjal,hair
ä-mjel,hair
ä-ngop,levirate
ävo,husband
ók,to open
óp,throw
ür,yellow
šu,what
ší,see
