Other,English
Petut,a day
Kot,A lot
Kiptigal,A person who interrupts someone's speech
Tangoch,A story teller's opening word
Eliput,A thousand
Kutuny,abase oneself
Kamuktaet,ability to do (s)
Tabot,Above ceiling
Momii,Absent
Chub,Abuse; Curse
Kipsomaninik,Academicians
Chamda,Acceptable
Nyasutiet,accident
Nyasutik,accidents
Bas,Accumulate
Chepchep,active
Tes,Add
Ndegeit,Aeroplane
Koobata,Afterwards
Botum,Age mate - men
Bamwai,Age mate - women
Ipinda,Age set
Wirgit,Alcohol - spirits
Chepchep,Alert
Tugul,all
Kamuktaet,All powerful
Chamchin,Allow
Chamda,allowed
"Agot, Koraa",Also
Mabwai,Alter
Seet,ambush
Kobokyi,Ambush
Asis,Ancient sun god of Kipsigis
Malaigayat,Angel
Ingo,Another
Age,Another one
Choot,Answer to a story teller's opening word
Pirechot,Ant
"Boinet, Cheptirgichet",Antelope
Kwetiot,Anus
Moset,ape
Nyoogat,Apologise
Motiet,Archer's bag
Tiiyet,argument
Eut,Arm
Ami,Army
Kipchabet,Arrow
Taakityo,As long as
Keter,aside the house
Som,ask
Teep,Ask
Polen,assembly
Inguni,At present
En,at; In
Ngwaek,Athletics
Mwet,baby
Chereret,Baby born; Velvet monkey
Patai,Back - from shoulder to buttocks
Ya,Bad
Yaityet,Badness
Mapuget,Bag
Woondo,Banishment
Bengi,Bank
Sonet,Barren woman
Kitonget,Basket
Araket,Bastard
Mwetkei,Bath
Papit,Bathroom
Iywei,Be afraid
Nerech,Be angry
Sob,Be cured; Be alive
Yayak,be done
Sere,Be fortunate
Rumogen,be in a coma
Sirir,Be lonely
Sis,Be quiet
Arogen,Be shocked
Mian,Be sick
Tagur,Be well mannered
Sonet,beast
Tiondo,Beast; Emblem
Birten,Beat off - as in dust; Be Shaken up and down
Bir,Beat; Ring
Kararan,beautiful
Amun,Because; narrate
Kitogut,Bed
Segemiat,Bee
Maiywek,Beer
Segemik,Bees
Som,Beg
Inam,begin
Taun,Begin
Taunet,Begining
Atepto,Behaviour
Keter,Behind the house
Let,Behind; End
Petot,Being lost; Crooked
Wit,Belittle
Twalyot,Bell
Ab,Belonging to
Wis,Bend something
Kotabala,Besides
Pan,Bewitch
Woo,Big
Cherambach,Big hoe the shape of half a circle
Nerat,big in size
Kimenjerut,Big rat
Taritiet,Bird
Taritik,Birds
Sus,Bite
Ngeny,Bite off
Tui,Black
Branketit,Blanket
Berurot,Blessed
Korat,Blind
Korotik,Blood
Kut,Blow
Kalelutik,blunders
Sagetiet,Blunt knife
Melit,Boat
Porto,Body
Kawet,Bone
Kawek,Bones
Bukuit,Book
Pomit,Boom; Bench
Keringet,borehole
Ratat,Bound; Imprisoned
Kiwotet,Boundary
Kuyanda,Bow
Ngetet,Boy
Kundit,Brain; Computer processor
Temet,Branch
Magatiat,Bread
Il,Break
Kapuset,Breath
Mureret,Bride
Tiun,Bring along
Pirirwet,Broom
Tupchet,Brother
Murwon,Brown
"Purasit, Siit",Brush
Soet,Bufallo; Heavens
Tech,Build
Kirgit,Bull
Risasiat,Bullet
Bel,Burn
Lalei,Burning
Tuup,Bury
Basit,Bus
Mungaret,Business
Tapurpuriet,Butterfly
Nyasutik,Calamities
Nyasutiet,Calamity
Moita,Calf
Kur,Call
Kamera,Camera
Chute,can enter
Kirokto,Cane
Magase,Cannot hear
kipkiroisi,Cap wearer
Much,Capable
Karit,Car
Magengii,Care about
Karat,Carrot
Melik,Cartilage
Arek,cat
Pakeet,Cat
Tal,Catch
Nam,Catch; Receive; Start
Cheputiet,Caterpillar
Kwenet,Center
