Other,English
"juljal-, jullal-",glitter
"lem, leme.t-, lemed-",glue
gechki-,gnaw
"jen, jenm-",god
bur,good
jiki,grain
turun bij,green
jor,grey
"jir, jør",gudgeon
"an, pin-an",gums
nar,hairless skin
"pel, pev, pól",half
sermëd,halter
"ki, kørø.m, ti",hand
"gabir, kabir, kirim",handful
"öhr', vug",handle of vessels
"okta, okti-, öktï-, oktim-",hang up
"corid, corit, cu.røt, lö, loled-, naj, naž-",hard
juž,hard snow surface
nima.l,hare
uz,hat
"turin, turø.n, turu.n, turun",hay
"pachkan, paškan",hazelnut
si,he
"pom, pon",head
šan,healthy
much,heap
"selem, seve.m, soløm",heart
"ed, ru",heat
jen-ež,heaven
"ken-, ko.n-",hemp
cuker,herd
"ati, tani",here
it-va,high water
"ke.ral-, kera.v-, keral-",hit
gier,hoar-frost
"em, kiš, pa.skøt, roz, um, vem, vom",hole
"girk, gørk",hollow
soj,hollow hand
kamir,hollow of hand
"gir, gør",hollow vessel
sur,horn
pym,hot
"ke.r-ku, ker-ka, ker-ku, ko.r-ku, vic-ko, vic-ku",house
kiden,how
"mij-minda, munda",how much?
"se, so, sö",hundred
"ma.tø, mate",hut
me,I
"in, ji, jï, jú",ice
kiž,illness
"cornit, sorni, sornit",incantation
"is-te.g, is-teg, is-tøg, teg",inflammable material
"pelsin, pich",inside
"-e, -ja",interrogative particle
"kolas, kos, kos, kova.s, vež- vi.ž-, vežli-, vis",interval
"kol, kolj-, kov, kov-gag, kovj-, škol",intestinal worm
"sita.n-su, sul",intestine
"kesji-, kosji-",invite
"kert, kórt",iron
di,island
"si, si.da, sija, sije",it
kach-pomel,juniper
mo.røs,jutting out
verk,kidney
eksy,king
"kiz, kíz",knot
ty,lake
mu,land
"kil, kiv, køl",language
"elej, ol-voj, volej",lap
"neja-pu, nia, nia-pu",larch
"giris, gris",large
raj,lattice
"kor, kur",leaf
"lis, lisk-, list-, løs, vis",leaf of a conifer
"j.-nich, jal, jala, jala-nich, nich",lichen
sin-kud,lid
"jez, jez-vij",limb
nin,lime bast
"cal, cal-, calj-, call-",little finger
"perid, perit",lively
"mus, musk, muskis",liver
"cojul, cujøl, joji.v, jojuv",lizard
kum,lobby
"kuz, kúz",long
"azzed-, azzi-, àzzi-, vidli-, viz-",look
"chik-, chike.t-, chiked-, chøk-, chøkø.t-",loss
"toj, túj",louse
"lud, son, vud",lowland
ti,lung
kam,lust
kun,lye
"kir, kir-pon, kør",male
mort,man
yna,many
niz,marten
ma,mead
gid,meadow
nir silan,meat
"ken, kil",membrane
"kod, kojd, kud",method
"lun, vun",midday
"nom, num",midge
"ke-pis, ki-pis, te-pis",mitten
kia,morning dawn
roj,moss
en,mother
"bag, bak, buk",mould
"göra, ver, vúr",mountain
"šir, šør",mouse
"s-kës, su-kes, su-kese kosme",mouth
"una, una.",much
gob,mushroom
"tirp, tørp",muzzle
giž,nail
nim,name
"me-ser, me-ser, me-ser, me-ser, me-ser, me-ser, mu-sur, mu-sur, mu-sur, šog, šog, sopid, vesni 'dünn",narrow
"sopal-, sopkal-",narrow (1)
pež,nasty
matin,near
"si-kech, si-kech, si-kej, si-kež, sijes, sili, silï, siø.s, sivi., sjes, søli.",neck
"im, jem",needle
"e-, i-, o-",negative particle
poz,nest
"kulem, kuve.m, til, til",net
kaz,net trap
vil,new
"oj, új, voi, voj",night
ekmys,nine
"seral, sere.v, serol, serov",nits
ni-nem,not
"lid, lidji-, løddi-, vid, viddi-",number
tu-pu,oak
"pane.v, panö, panol, panov",oats
"tuj-vež, túj-viž, vežen munni, viž",oblique
"is, isk-",odor
"peris, perïs, važ, vener",old
"vil, vile, vilin, viv, vive, vivin, vøl, vølø",on top
"et-pir, ëti-k, etik, ëtik, ëtïk, ot-pør eti",one
gor,open stone oven
ser,order
"nuimp, nuimpe, nuipp, nump",other
rec,part
"dod-sul, dojd-suv",part of shoe
"dem-, dem-, dema.s, demed, dü.mas",patch
"cheges, tul, tuv",peg
"jokiš, jokuš",perch
"ko.mi, komi, mort",person
"tor, tör",piece
pors,piglet
sir,pike
"sus, sus-, sus-pu, susk-",pine
jag,pine forest
pozhem,pine-tree
"-in, in, pen-",place
"mij, mis, mist, misti",place behind something
vol,place for lying
"ki-, kij-, ku.-, pin-",plait
"jal, jav, sor, žal",pole
"sirs, sirsa",pole with shortly hewn boughs
"ti, tø",pond
"rok, rök, ruk",porridge
"i, ï",post
"kozin, kú.zin, ni, nin, nin, nïn",present
"artal-, don",price
"ozir, özïr",prince
myž,prop
sez-,pull out
kut-,push
"tehän, tewän",quiet
