Other,English
pyus pyxidis,a little box
cultellus,a little knife
labellum,a little lip
opusculus,a little or small work
lentulus,a little slow
diu,a long time ago
dudum,a long while ago
multus plus plurimum,a lot
equa,a mare
"congressus, occursus",a meeting
"cassida, cassis",a metal helmet
ethologus,a mimic
articulus (of time),a moment
escensio,a movement inland
intervigilium,a nap
physiologus,a natural science
casses,a net
patricius,a nobleman
nutus,a nod
nutus,a nodding
alma,a nourishing one
penicullus,a painter's brush
iugum,a pair
gilvus,a pale yellow color
penitens (penitentis),a penitent
triduum,a period of three days
stilus,a pike
papula,a pimple
fovea,a pit
campester,a plain
paliurus,a plant
uredo,a plant blight
currus,a plow with wheels
punctum,a point
orca,a pot or jar
pondus,a pound's weight
effusio,a pouring form
decessor,a predecessor
punctum,a prick
privatus,a private person
prominens,a projection
"pollicitus, promissio",a promise
promissor,a promiser
basilica,a public building for law cases
emptio,a purchase
pharetra,a quiver
cursus,a race
ferula,a rad to beat children with
scabies,a rash
crepitaculum,a rattle
legens (-entis),a reader
agnatus,a relation in the male line
quies,a resting place
decessio,a retreat
lemiscus,a ribbon
subnuba,a rival
progressus,a royal circuit
"curriculum, cursus",a running
decursus,a running down
dictus dictus,a saying
quiritatio,a scream
"denuo, iterum",a second time
legio,a selection
famulus,a servant
quassatio,a shaking
mucro,a sharp point
perculsus,a shock
clamor,a shout
"ballista, trebuchettum",a siege engine
bellicum,a signal to march
piaculum,a sin
pilus,a single hair
pecus,a single head of cattle
semel,a single time
venalis,a slave
labecula,a slight stain
prolapsio,a slipping or sliding
declive (-is),a slope
lectulus,a small bed
opusculus,a small book
fornacula,a small oven
peculium,a small property
bacillum,a small staff
labellum,a small washing vessel
ferratus,a soldier in armor
oraculum,a solemn statement
quasi,a sort of
quaestus questus,a source of profit
patulum,a space
rutila,a spade
contradictio,a speaking against
curis quris,a spear
dictus dictus,a speech
decoctor,a spendthrift
peniculus,a sponge
"quadratus, quadrum",a square
asser,a stake
foetor,a stink
stilus,a stylus for writing
coadunatio,a summing up
ademptio,a taking away
iugum,a team of oxen
"laceratio, laniatus",a tearing
fanum,a temple or church with the land around it
vispilio,a thief by night
funiculus,a thin rope
mille,a thousand
millies milies,a thousand times
iaculator,a thrower
traba,a timber
contages,a touch
crepundia,a toy
dolus,a trap
trebuchettum,a trebuchet
termes,a tree branch (especially olive)
casia,a tree with an aromatic bark
pilus,a trifle
declinatio,a turning aside
uncia,a twelfth
coadunatio,a uniting
calix,a vessel for drinking
piaculum,a victim
arbustum,a vineyard planted with trees
erratio,a wandering
tela,a web
pensio,a weighing out
orbita,a wheel rut
laxamentum,a widening
sapiens (subs.),a wise man
ergastulum,a workhouse for slaves
ruga,a wrinkle
responsiva,a written reply
cohors,a yard
abacus,abacus
"abicere, derelinquo, desero, destituo, dimitto, dimitto, prodo, proicio",abandon
desolo,abandoned
abicere,abase
provolvere se,abase oneself
abbatissa,abbess
"abbatia, abbatia, monasterium",abbey
"abbas, abbas abbatis, prepositus",abbot
diadema,abbot's mitre
"abbreviare, curto",abbreviate
abecedarium,ABC
abdico,abdicate
abdicatio,abdication
"abdomen, alvus, venter",abdomen
"abactus, abductio",abduction
abactor,abductor
error,aberration
concitare,abet
abominare,abhor
abominatio,abhorrence
"commoror, habito, mansurus, possideo",abide
"facultas, facultas, potestas",ability
abiectus,abject
abrenuntiatio,abjuration
"abiurare, abrenuntiare, abrogare",abjure
ablativus,ablative
"ingeniosus, polleo, potens, valens, validus",able
"abiurare, abnegare, abrenuntiare",abnegate
abnegatio,abnegation
abnormis,abnormal
domus,abode
"aboleo, abolere, abrogare",abolish
"abolitio, abrogatio",abolition
"dirus, nefandus",abominable
diriter,abominably
"abominare, abominor",abominate
"abominamentum, abominatio",abomination
"abortio, abortus",abortion
"exubero, exundo",abound
prodigus,abound in
"abundans, celebrus",abounding in
cretosus,abounding in chalk
"circa, de, de (prep. + abl.), erga (+ acc.), ferme, fere, inter",about
"super, super (adv.), superne, supernus, superus superior supremus or, supra (+ acc.)",above
probus,above-board
"acer, acutus",abrasive
arto,abrdiged
abbreviare,abridge
"epitoma, epitome",abridgement
foris,abroad
"abolere, abrogare",abrogate
"abolitio, abrogatio",abrogation
"abruptus, abscisus, arduus",abrupt
abrupte,abruptly
abripere,abscond
abscessus,absence
"absens, absens, absentis (adj.)",absent
"abætere, abitere, abscedere",absent onself
absolutus,absolute
tyrannus,absolute ruler
absolutio,absolution
absolvere,absolve
abstinere,abstain
ieiunium,abstinence
"abdere, concludere",abstract
"absurdus, futurus, inconcinnus",absurd
alogia,absurdity
copia,abundamce
"abundantia, affluencia, facultas, fertilitas, mammona, opes (pl.), ubertas",abundance
"abundans, benignitas, uber",abundant
copia,abundant supply
"abunde, uberte",abundantly
copiosus,abundantly provided
exaggeratus,abundantly supplied
"absumptio, abusio, abuti, maledictio, probrum",abuse
"abruptum, abyssus, abyssus, barathrum, profundum, vorago",abyss
Æthiops,Abyssinian
"acacia, acanthus",acacia
"accelerare, accelero, propero",accelerate
accentus,accent
"accipere, accipio, recipero, suscipio, suscipio",accept
accredo,accept wholeheartedly
acceptabilis,acceptable
acceptatio,acceptance
acceptator,acceptor
expositus,accessible
"casus, casus",accident
"casualis, fortuitus",accidental
"forte, fortuito (used as adverb), fortuitus",accidentally
"acclamare, acclamatio, applaudere",acclaim
acclamatio,acclamation
consuefacio,acclimate
"clinamen, clivus",acclivity
accommodo,accommodate oneself
comitatus,accompanied
"facesso, impetro, peracto, perago, perago (-ere), perpetro, pervenire, proficio",accomplish
artificiosus,accomplished
factum,accomplishment
placitum,accord
conveniens,accordant
"prout, secundum (+ inf.)",according to
generatim,according to classes
ordinarius,according to order
consequens,according to reason
canonicus,according to the canons
"ergo (adv.), secundum",accordingly
ratio,account
floccipendo,account of slight value
ornamentum,accoutrement
"accumulo, exaggero",accumulate
exaggeratus,accumulated
exaggeratio,accumulation
"penitus (adverb), sagaciter",accurately
"maleficus, sacer, scelerata, scelestus",accursed
scelus,accursed deed
"accusatio, ciminatio, crimen, criminatio, querimonia",accusation
accusativus,accusative
"accusare, arguo, culpo",accuse
reus,accused
"accusator, criminator",accuser
accusator,accusor
solitus,accustomed
Acheron,Acheron
perficio,achieve
"adeptio, factum",achievement
acidus,acid
"agnoscere, agnosco, confiteor confessus",acknowledge
aconitum,aconite
balanus,acorn
gnarus,acquainted with
"adepto, conciliare, usurpo",acquire
ager (agri),acre
trans (+ acc.),across
"contra, in",across from
"actio, actum, facio (trans.), factum",act
juramentum,act of oath-taking
injurius,acting unlawfully
"actio, actum, commissio, facina -oris, factum",action
"impiger, practicus, strenuus",active
"impigre, strenue",actively
persona,actor's mask
vere,actually
subigo,-actus] put down
argutus,acute
Adam,Adam
"adamans, insuadibilis",adamant
"accommodo, adapto, commodo",adapt
ingeniosus,adapted
"accensere, accommodare, adaugeo, addo, suggero, suppono subpono",add
mara,added to lime-deficie
consummatio,adding up
"adicio, affatus, affor, aggredior, compello, oratio",address
sufficiens,adequate
sufficienter,adequately
adhaero,adhere
ave,adieu
"assimilares, celebrer, consonum, valde",adj
praeter,adj.
philologus,adj. learned
cellarius,adj. relating to a store-room
finitimus finitumus,adjacent
adjectivum,adjective
finitimus,adjoining
adapto,adjust
"curo, fungor",administer
"administratio, cura, procuratio",administration
iurisdictio,administration of justice
exercitatio,adminstration
executor,adminstrator
divinitus,admirably
admiratio,admiration
"admirari, admiror, miror",admire
admirator,admirer
"ascisco, confiteor confessus, fateor",admit
"admoneo, moneo, paecipio",admonish
"monitio, monitum",admonition
"adopto, ascisco",adopt
ascio,adopt as one's own
adorare,adore
"decoro, distinguo, excolo, exorno, extollo, glorifico, insignio, orno",adorn
ornata,adorned
Hadria,Adriatic
Hadria,Adriatic Sea
solers,adroit
adulator,adulator
adultus (adj.),adult
adulter,adulterer
adultera,adulteress
"congrue, deinde, igitur, item, juxta, pie, praecipue, praeter, praeterea, quandoque, quantum, quidem, saltem, singulariter, tam, tanquam, tantundem",adv
gregatim,adv.
diu,adv. a long while
passim,adv. far and wide
velut,adv. just as
subito,adv. suddenly
nimis,adv. too much
immerito,adv. undeservingly
quamvis,adv/conj
"bellicum, enitor, eo ire itum, procedo, profectus, profero, proficio, proficio, progredior, progressio, progressus, promoveo promovi promotum, proveho, proximare",advance
"promutuus (cash), provectus",advanced
provectus,advanced in age
provectus,advanced in years
"commodum, oportunitas, opportunitas, usus",advantage
"salubris, utilis",advantageous
salubriter,advantageously
adventum,advent
adverbium,adverb
"adversarius, antagonista",adversary
"adversitas, adversum",adversity
"annuntiare, vendo",advertise
"consilium, consultum",advice
"admoneo, censeo, moneo, monere, precipio",advise
suadeo,advise (a person)
consuasor,advisor
"advocatus, altor, causidicus",advocate
reproba,-ae
æon,aeon
aer,aeris air
"comis, facilis, lepidus",affable
"causa, res, res, res rei",affair
"caritas, contineo, inflecto, moveo moti motum",affect
vultuosus,affected
amor,affection
"affectuosus, charus",affectionate
"autumo, firmo, protestor, protesto, retineo",affirm
"adficio, contristo, ingravo",afflict
plaga,affliction
"affluencia, sufficientia",affluence
sufficiens,affluent
"affluenter, sufficienter",affluently
formido,afraid
denuo,afresh
Africa,Africa
Afer,African
"a ab abs (prep + abl), post, post (+ acc.), postquam (conj.), praeter, secundum (+ inf.), secundum (adv.)",after
exinde,after that
instar,after the fashion of
hinc,after this
meridianus,afternoon
"deinde, post modum, postea, postea",afterwards
"denique, denuo, iterum, rursus",again
"etiam atque etiam, identidem, quater, saepenumero",again and again
"adversus (prep. + acc.), contra, contra (+ acc.), in (+ acc.)",against
invitus,against one's will
quas (fem. pl. acc.),against whom he struggled
"ætas, aevum, saecula saeculorum",age
"grandaevus, provectus, seneo",aged
senilis,aged man
procurator,agent
"ingravo, tendo",aggravate
infestus,aggressive
"concitare, concutio, permoveo",agitate
sollicitus,agitated
commotio,agitation
abhinc,ago
"acquiesco, congruo",agree
pango,agree upon
"acceptus, dulcis, facilis, iucundus, libet, suavis",agreeable
volup,agreeably
compaciscor,agreed upon
pactus,agreed-upon
"congruus, conveniens",agreeing
"competentia, compositio, concordia, consensio, foedus, lex legis, pactum, placitum",agreement
infensus,agressive
georgicus,agricultural
ah,ah
proh,ah!
ante,ahead
"adiutorium, adiuvo, adminiculum, auxilium, auxilium, faveo (+ dat.), iuvo, praesidium, proficio, succurro, suffragium",aid
"calx, intendo, intentio",aim
concupisco,aim at
ær,air
andron,aisle
"concutio, timor",alarm
trepidus,alarmed
heu,alas!
alba,alb
"alnus, alnus",alder
"cerevisia, cervisia",ale
erectus,alert
alga,alga
"advena, alienus, allophylus, barbaricus",alien
mancipo,alienate
"abalienato, alienatio",alienation
pariter,alike
"cunctus, omnis, quamtotius, quislibet, totus",all
cunctus,all collectively
"abrupte, repente, subito",all of a sudden
usque,all the way
universi,all together
toto,all togther
sedo,allay
refer,allege
famulatus,allegiance
relevo,alleviate
"fomentum, lenimentus, levamen, levamentum, levatio",alleviation
"amicitia, foedus",alliance
socius,allied
