Other,English
ABC,alphabet
Aalst,Alost
Abchazisch,Abkhazian
Abchazië,Abkhazia
Abessinisch,Abyssinian
Abessinië,"Abyssinia, Ethiopia"
Abraham,Abraham
Acheron,Acheron
Achilles,Achilles
Achter-Indië,Indo-China
Acropolis,Acropolis
Adam,Adam
Aden,Aden
Adonis,Adonis
Adrianopel,Adrianople
Adriatische Zee,Adriatic
Adzjarië,Adzharia
Aegir,Aegir
Afghaans,Afghan
Afghanistan,Afghanistan
Afrika,Africa
Afrikaans,"Afrikaans, African"
Afrikaner,"Afrikaner, Afrikander"
Afroaziatisch,Afro-Asian
Afrodite,Aphrodite
Agamemnon,Agamemnon
Ajax,Ajax
Aken,Aix-la-Chapelle
Alaska,Alaska
Albaans,Albanian
Albanees,Albanian
Albanië,Albania
Albion,"England, Albion"
Aleppo,Aleppo
Alexander,Alexander
Alexandrië,Alexandria
Algerije,Algeria
Algerijns,Algerian
Algerië,Algeria
Algiers,Algiers
Alpen,Alps
Altai,Altai
Alva,Alva
Amazone,Amazon
Ambon,Amboina
Ambonees,Amboinese
Amerika,America
Amerikaans,American
Amiranten,Amirants
Amman,Amman
Ammon,"Ammon, Amon, Amun"
Amoedarja,"Amudaryra, Oxus"
Amor,"Eros, Cupid"
Amsterdam,Amsterdam
Anatolië,Anatolia
Andalusisch,Andalusian
Andalusië,Andalusia
Andes,Andes
Andesgebergte,Andes
Andorra,Andorra
Andorraans,Andorrian
Andorrees,Andorrian
Andromeda,Andromeda
Angelsaksisch,Anglo-Saxon
Angola,Angola
Angolees,Angolian
Angora,"Ankara, Angora"
Ankara,"Ankara, Angora"
Annunciatie,Annunciation
Anoebis,Anubis
Antillen,Antilles
Antilliaans,Antillian
Antiochië,Antioch
Antwerpen,Antwerp
Apennijnen,Apennines
Apollo,Apollo
Apulië,Apulia
Arabier,Arab
Arabisch,"Arabian, Arabic"
Arabië,Arabia
Arcadië,Arcadia
Archeozoïcum,"Archeozoic, Archaeozoic"
Archimedes,Archimedes
Arctica,Arctic
Arctis,Arctic
Ardennen,Ardennes
Areopagus,Areopagus
Ares,Ares
Argentijns,"Argentinean, Argentine"
Argentinië,Argentina
Argus,Argus
Ariadne,Ariadne
Arisch,Aryan
Aristoteles,Aristotle
Arizona,Arizona
Armeens,Armenian
Armenië,Armenia
Armorica,"Brittany, Bretagne, Armorica"
Arnhem,Arnhem
Artemis,"Phoebe, Artemis"
Assepoester,Cinderella
Assisi,Assisi
Assyrisch,Assyrian
Assyrië,Assyria
Asturië,Asturias
Atheens,Athenian
Athene,"Athena, Athene, Athens"
Atlantis,Atlantis
Atlantisch,Atlantean
Atlantische Oceaan,Atlantic
Atlas,Atlas
Atrecht,Arras
Attica,Attica
Attisch,Attic
Augias,Augeas
Augustus,Augustus
Aurora,Aurora
Australisch,Australian
Australische inboorling,aborigine
Australië,Australia
Azerbaidzjaan,Azerbaijani
Azerbaidzjan,"Azerbaidzhan, Azerbaijan"
Azerbeidzjan,"Azerbaijan, Azerbaidzhan"
Azeri,Azerbaijani
Aziatisch,"Asiatic, Asian"
Azië,Asia
Azoren,Azores
Azoïcum,Azoic
Azteeks,Aztec
Aäron,Aaron
BTW,VAT
Babel,"Babylon, Babel"
Babylonisch,Babylonian
Babylonië,Babylonia
Bacchus,Bacchus
Bagdad,Baghdad
Bahama Eilanden,Bahamas
