-bandayo,chilly
isiShayina,Chinese
ukukhetha,choose
uKhrisimuzi,Christmas
isonto,church
ilibhayisikobho,cinema
"ilitanki, ilitanki, itanki, itanki",cistern
idolobha,city
"ikilasi, ilikilasi",class
"-hlanzekileyo, -hlanzekileyo",clean
umabhalane,clerk
ikhasimende,client
sivaliwe,closed
ifu,cloud
ikhofi,coffee
"ikhefi, ilikhefi",coffee-house
umkhuhlane,cold
kubanda,cold: it is ~
umbala,colour
"ukufika, ukuza",come
ukuenzeka,come about
ukuhlangana,come across
ukubuya,come back
ukugcina,come to an end
ukuqala,commence
"ukuphakamisa, ukuphakamisa",commend
umncintiswano,competition
"ukukhala, ukukhala",complain
ukuqeda,complete
"ikompiyutha, ikompiyutha",computer
"ikhonsathi, ilikhonsathi",concert
ukuethemba,confide
ukugcina,conserve
ukubukela,consider
ukuakha,construct
ukuqhubeka,continue
izingxoxo,conversations
"pkeka, ukupheka",cook
intambo,cord
ikhona,corner
-phakeme,correct
-bizayo,costly
libiza,costs: it ~
"ukukhwehlela, ukukhwehlela",cough
ummeli,counsel
"ikhawunda, ilikhawunda",counter
yamazwe,countries: of ~
"ipuleti, isitsha",course
ulaza,cream
ngecredit,credit: by ~
"ikhukhamba, ikhukhamba",cucumber
"inkomishi, inkomishi",cup
ukupholisa,cure
okwamanje,currently
"ikhethini, ilikhethini",curtain
"ilisiko, isiko",custom
"ikhasimende, ikhasimende, ilikhasimende",customer
"ukusika, ukusika",cut
"ibhayisikili, ibhayisikili, ilibhayisikili",cycle
"inyuziphepha, inyuziphepha",daily paper
"idamu, idamu, ilidamu, ilidamu",dam
umndeni,damily
ukusina,dancing
inngozi,danger
"idethi, idethi, ilidethi",date
intombi,daughter
"umhla, ulusuku, usuku, usuku",day
ngelanga,day: a ~
ngelanga,day: per ~
izinsuku,days
indaba,deal
-bizayo,dear
ukufa,death
uDisemba,december
"ukubukela, ukuethemba",deem
"ukuesula, ukuesula, ukusula",delete
ukudiliva,deliver
"udokotela wamazinyo, udokotela wamazinyo",dentist
"ukuphikisa, ukuphikisa",deny
ukuhamba,depart
ukwemuka,departure
"ukufisa, ukufisa",desire
iphudingi,dessert
ingxoxo,dialogue
"ukuehlukile, ukuehlukile",differ
ukuehlukile,different: be ~
-nzima,difficult
usayizi,dimension
-ncane,diminutive
isapha,dinner
iseluleko,directions
isephulelo,discount
"ilipuleti, ipuleti, isitsha",dish
ubuhumusha,dishonesty
ukuthengisa,dispose of
-de,distant
ukuenza,do
Une..?,Do you have..?
ukhuluna isi...,Do you speak...
udokotela,doctor
amadola,dollars
akunandaba,don't mention it
umnyango,door
phansi,down
phansi,downstairs
"idazini, ilidazini",dozen
ilikhethini,drape
amaphupho,dreams
"ililokwe, ilokwe",dress
"isiphuzo, isiphuzo, ukuphuza",drink
