Other,English
qaš-,flee
qašqa,white blaze
qasta-,to annoy
qat-,tie to
qažang,joke
qazyn,relative-in-law
qazyng,birch tree
qazyr,cruel
qazyr-,to bend
qobus,a k. of musical
qojyh,saturated
qojyn,bosom
qol,arm
qolah,saddlegirth
qongrä,bell
qongra-,to ring
qöq,bladder
qöq,husk
qör-,fry
qortu,burbot
qorum,heap of stones
qoš,top(s) of boots
qü,swan
qubu,pole
quja,moth
qujaš,sun
qul,servant
qulaq,ear
qum,sand
qumarqy,legacy
qumystaš,ant
qursaq,stomach
quru-,to dry
quš,hen
quspaq,to pour out water
quzuruq,tail
qychan-,to threaten
qyjal,harm
qyjnah,harm
qyjyh,edging
qyjyq-ta-,to offend
qyl,hair
qyl-,to make
qylchy,handle
qylyš,sword
qymnaq,hop
qymyrtaš,ant
qyn,scabbard
qyn-,to long for
qyn-lah,torture
qypla-,to cut with scissors
qypty,scissors
qyr,isolated mountain
qyr-,to break
qyrä,hoar-frost
qyryq,forty
qys,girl
qys,shin
qyš,winter
qyšyr-,cry
qytyj,miserly
qyzyl,red
qyzyr,barren cow
rym,omen
š?malyq,small finger
šabal,fir-needle
sabyr,to blow of wind
šabyr,gown
sabyr-,scatter
sah,healthy
sahisqan,magpie
sahyl,chipmunk
šahyn,spark
saj,area covered with stones
šäj,mischief
saj-,to pierce
šajyq,flood
sal,rafter
sal-,to put
šalhanaq,nettle
šalhy,scythe
šalhyn,nettle
šangaš,viburnum
šangyš,viburnum
šap-,to beat
šap-tyh,renowned
šapchaq,big vessel
šapqy,metal shavings
sär,one of a pair
šar,whetstone
šarbaq,squirrel
sartak,reindeer
sartqa,tick
saryn,sad song
šaš,hair of head
šaš-,sow
sat-,to sell
segri-,to jump
sen,"you, thou"
šeš-,to untie
šet,bush
si-,to urinate
sïba-,caress
siler,you (pl)
šimchi-,to pinch
šimchik,a pinch
singnim,younger sister
širte-,to click
sler,you (pl)
sö,water bucket
sö,after
šöbek,hemp straw
šoh,glowing coals
sohan,arrow head
söjbe,door-post
söjge,door-post
sök,bone
sök-,swear
šök-,to sink
sol,left
söl-,to dry off
šom-,to swim
sön,after
šöp,dregs
söq,cold
šoq,to worship
soq-,crush
šoqta-,to pray
sor-,to suck
sös,speech
šošqa,pig
šu,bundle
šübürek,patch
suh,water
suhuluq,horse's bit
šulha-,to bind
šüngür,hollow
sür-,to drive away
sür-,pull out
sus-,to scoop
süt,milk
syba-,caress
šybyrhan,pimple
šyhanaq,forearm
syj,gift
šymyq,branch
syn,body
sýn,deer
syn-,to be broken
syng-,to fit into
synma,grouse
šyq,moisture
šyq-,come out
šyqtyh,wet
syrha,ear-ring
šyš,sharp stick
šyš-,to defecate
šyšqan,mouse
syzyr-,peel off
tabyraq,quickly
tabyrhy,musk-deer
tah,mountain
tahra-,to repair
taj-,to slide
tajan-,to lean
tajna-,to chew
tajy,uncle
tal,willow
tal-,to lose strength
tany-,get to know
tap-,to find
tar,narrow
tarä,millet
taram,sinew
tart-,to hang
tas,bald
taš,stone
tašty,exterior side
tat,rust
tatqy,taste
tazyl,root
te-,to say
teg-,to reach
tegri,heaven
tek,in vain
tep,time
tep-,tramp
ter,sweat
tër-,gather
