English,Other
aardvark,aardvark
aardwolf,aardwolf
aaron,aaron
aback,aback
abacus,abako
abaft,sa popa
aft,sa popa
aft,popa
aft,nasa popa
stern,popa
stern,mahigpit
stern,istrikto
stern,mabalasik
stern,mabagsik
stern,matigas
austere,mahigpit
austere,mabalasik
austere,mabagsik
sturdy,matigas
sturdy,matatag
sturdy,malakas
sturdy,matibay
sturdy,matipuno
staying,matigas
harsh,mabagsik
harsh,malupit
harsh,magaspang
harsh,nakasasakit
harsh,masakit sa tainga
harsh,magaralgal
harsh,maligasgas
cruel,mabagsik
cruel,malupit
cruel,walang awa
cruel,walang habag
cruel,baliw
grim,mahigpit
grim,mabalasik
grim,mabagsik
grim,matigas
grim,malupit
grim,matatag
grim,mabangis
grim,walang badling
grim,matibay
grim,nakatatakot
grim,nakapanghihilakbot
stringent,mahigpit
fierce,mabalasik
fierce,mabagsik
fierce,malupit
fierce,mabangis
fierce,matindi
fierce,masidhi
fierce,baliw
virulent,mabalasik
virulent,lubhang nakakalason
virulent,nagpapahayag ng galit
virulent,totoong nakakalason
virulent,nagpapahayag ng poot
virulent,makamandag
virulent,makabagsik ang lason
virulent,may lason
virulent,lubhang mapaminsala
virulent,lubhang mapanganib
virulent,lubhang nakapipinsala
tough,matigas
tough,matatag
tough,malakas
tough,sutil
tough,matibay
tough,matigas ang ulo
tough,maganit
tough,mahirap
tough,makunat
tough,mahirap akitin
tough,magulo
rigorous,mahigpit
rigorous,mabalasik
rigorous,mabagsik
rigorous,napakabagsik
rigorous,napakahigpit
rigorous,totoong mahigpit
rigorous,totoong mabagsik
severe,mahigpit
severe,mabalasik
severe,mabagsik
severe,grabe
severe,marahas
severe,malakas
severe,matindi
severe,napakahigpit
severe,malala
severe,mabigat
severe,mahirap
severe,malubha
severe,payak
severe,simple
stiff,mahigpit
stiff,matigas
stiff,pormal
stiff,malakas
stiff,maganit
stiff,naninigas
stiff,mahirap
stiff,malapot
stiff,matapang
stiff,napakataas
stiff,labis
stiff,sobra
stiff,masyado
stiff,katibayan sa paniningil
strict,mahigpit
strict,istrikto
strict,mabagsik
strict,tumpak
strict,talaga
strict,tama
strict,lubos
strict,estrikto
tight,mahigpit
tight,mahigpit
tight,banat
tight,makipot
tight,maigting
tight,batak
tight,maramot
tight,pitis
tight,nang mahigpit
tight,masikip
tight,mahirap
tight,salat
tight,kuripot
tight,apretado
tight,binit
tight,bintad
tight,dikit na dikit
tight,hakab
tight,lapat na lapat
aggressive,mabalasik
aggressive,agresibo
aggressive,mapusok
aggressive,masigla
rugged,mahigpit
rugged,mabagsik
rugged,masungit
rugged,malakas
rugged,magaspang
rugged,mahirap
rugged,kulubot
rugged,kilu-kilo
rugged,baku-bako
hard,mahigpit
hard,istrikto
hard,mabalasik
hard,mabagsik
hard,matigas
hard,malakas
hard,masakit
hard,masakit
hard,matindi
hard,nang mahigpit
hard,mabigat
hard,mahirap
hard,matapang
hard,napakahirap
hard,gipit
hard,delikado
hard,hindi madali
hard,mabuti
hard,masikap
hard,magaling
hard,malapit sa
hard,kalapit
drastic,mahigpit
drastic,drastiko
drastic,marahas
deadly,mahigpit
deadly,mabagsik
deadly,mortal
deadly,nakamamatay
deadly,matindit
deadly,makamamatay
deadly,malubha
slashing,mahigpit
slashing,paglaslas
rigid,mahigpit
rigid,matigas
rigid,motigas
rigid,maigting
rigid,matibay
rigid,naninigas
stubborn,mahigpit
stubborn,matigas ang kalooban
stubborn,sutil
stubborn,matigas ang ulo
stubborn,sutu
hermetic,mahigpit
hermetic,ermetiko
astringent,mahigpit
astringent,matigas
firm,mahigpit
firm,matigas
firm,pirmi
firm,matatag
firm,maigting
firm,pipis
firm,matibay
firm,kompanya
firm,bahay-kalakal
firm,nakapirmi
tenacious,mahigpit
