20201103100000,BURMESE,1,်,2117
20201103100000,BURMESE,1, ,1422
20201103100000,BURMESE,1,ာ,1126
20201103100000,BURMESE,1,ေ,1090
20201103100000,BURMESE,1,က,1031
20201103100000,BURMESE,1,း,1005
20201103100000,BURMESE,1,တ,1003
20201103100000,BURMESE,1,ု,982
20201103100000,BURMESE,1,ိ,791
20201103100000,BURMESE,1,ပ,732
20201103100000,BURMESE,1,့,675
20201103100000,BURMESE,1,မ,619
20201103100000,BURMESE,1,န,614
20201103100000,BURMESE,1,င,613
20201103100000,BURMESE,1,ရ,571
20201103100000,BURMESE,1,ြ,569
20201103100000,BURMESE,1,ွ,546
20201103100000,BURMESE,1,ဲ,517
20201103100000,BURMESE,1,လ,421
20201103100000,BURMESE,1,ှ,395
20201103100000,BURMESE,1,စ,376
20201103100000,BURMESE,1,အ,369
20201103100000,BURMESE,1,ယ,338
20201103100000,BURMESE,1,သ,318
20201103100000,BURMESE,1,ခ,258
20201103100000,BURMESE,1,ျ,253
20201103100000,BURMESE,1,ဖ,232
20201103100000,BURMESE,1,ါ,214
20201103100000,BURMESE,1,ံ,204
20201103100000,BURMESE,1,ီ,190
20201103100000,BURMESE,1,ဆ,165
20201103100000,BURMESE,1,ည,165
20201103100000,BURMESE,1,ူ,165
20201103100000,BURMESE,1,ထ,138
20201103100000,BURMESE,1,ဒ,108
20201103100000,BURMESE,1,ဝ,103
20201103100000,BURMESE,1,။,102
20201103100000,BURMESE,1,ဘ,91
20201103100000,BURMESE,1,၊,76
20201103100000,BURMESE,1,္,52
20201103100000,BURMESE,1,o,52
20201103100000,BURMESE,1,a,47
20201103100000,BURMESE,1,ဟ,47
20201103100000,BURMESE,1,ဦ,43
20201103100000,BURMESE,1,e,39
20201103100000,BURMESE,1,-,37
20201103100000,BURMESE,1,c,34
20201103100000,BURMESE,1,၂,32
20201103100000,BURMESE,1,၀,30
20201103100000,BURMESE,1,f,25
20201103100000,BURMESE,1,m,23
20201103100000,BURMESE,1,n,22
