Other,English
Apúlía,Apulia
Arababandalagið,Arab League
Arabíska,Arabic language
Arabíuhaf,Arabian Sea
Arabíuskaginn,Arabian Peninsula
Aralvatn,Aral Sea
Ares,Ares
Argentína,Argentina
Argon,Argon
Argumentum ad hominem,Ad hominem
Aristófanes,Aristophanes
Aristóteles,Aristotle
Arizona,Arizona
Arkansas,Arkansas
Arkitekt,Architect
Arkímedes,Archimedes
Armenska,Armenian language
Armenía,Armenia
Arnó,Arno River
Arsen,Arsenic
Arthur Conan Doyle,Arthur Conan Doyle
Arthur Miller,Arthur Miller
Arthur Rimbaud,Arthur Rimbaud
Arthur Schopenhauer,Arthur Schopenhauer
Aríus,Arius
Arúba,Aruba
Aserbaídsjan,Azerbaijan
Askur Yggdrasils,Yggdrasil
Asmara,Asmara
Aspartam,Aspartame
Astana,Astana
Astat,Astatine
Astekar,Aztec
Astmi,Asthma
Asía,Asia
Asóreyjar,Azores
Atacama,Atacama Desert
Atferlishyggja,Behaviorism
Atlanta,Atlanta
Atlantis,Atlantis
Atlantshaf,Atlantic Ocean
Atlantshafsbandalagið,NATO
Atlas,Atlas (disambiguation)
Atlasfjöll,Atlas Mountains
Atli Húnakonungur,Attila the Hun
Atreifur,Atreus
Atviksorð,Adverb
Atómmassi,Atomic mass
Auga,Eye
Auglýsingar,Advertising
Auguste Comte,Auguste Comte
Auguste Rodin,Auguste Rodin
Austin (Texas),Austin
Austur,East
Austur-Afríka,East Africa
Austur-Kongó,Democratic Republic of the Congo
Austur-Sussex,East Sussex
Austur-Tímor,East Timor
Austur-Þýskaland,East Germany
Austurríki,Austria
Austurríki-Ungverjaland,Austria-Hungary
Averróes,Averroes
Avicenna,Avicenna
Ayn Rand,Ayn Rand
Aðalsveldi,Aristocracy
Aðfangadagur,Christmas Eve
Aðfeldi,Factorial
Aðskeyti,Affix
Aðventa,Advent
Aþena,Athens
Aþena (gyðja),Athena
B,B
B1-vítamín,Thiamine
BASIC (forritunarmál),BASIC
Badminton,Badminton
Bagdad,Baghdad
Bajkalvatn,Lake Baikal
Bakskaut,Cathode
Bakú,Baku
Baldur,Baldr
Balkanskaginn,Balkans
Baltimore,Baltimore
Bamakó,Bamako
Bambus,Bamboo
Bananalýðveldi,Banana republic
Banani,Banana
Bandaríkin,United States
Bandaríkjadalur,United States dollar
Bandaríkjaþing,United States Congress
