English,Other
autofollowing,"autom praćenje, automatsko praćenje"
autotrack,"autom praćenje, automatsko praćenje"
autotracking,"autom praćenje, automatsko praćenje"
cut out,"autom prekidač, automatski prekidač, iskrojiti, kontura, obris, ocrt, osigurač"
autoprogramming,autom program
data automation,automacija podataka
automation,"automacija, automacija (savršeniji stupanj automatizacije), automatizacija, automatizacija postrojenja, automatizaciju, ekspres restoran"
automat,automat
automatic machine,automat
automaton,automat
slot machine,automat
sign automaton,automat za potpis
automatedteller machine,automated-teller machine ; bankomat
automata,automati
automatics,"automatika, teorija automata"
automatization,automatizacija
automated measurements,automatizacija mjerenja
design automation,automatizacija projektiranja
office automation,automatizacija uredskoga poslovanja
automated,"automatizacija, automatiziran, automatizirana, automatizirani, automatizirano, automatska, automatski"
automatism,"automatizam, mehanika u automatu, mehanizam u automatu"
automatic,"automatiziran, automatizirana, automatski, pištolj"
automated telephone information service,"automatizirana telefonska obavijesna služba, automatizirana telefonska služba informacija"
automated teller machine,automatizirani brojač novca
automated manufacturing system,automatizirani proizvodni sustav
automated office,"automatizirani ured, računalom upravljano poslovanje"
testing,"automatizirano mjerenje, ispitivanja, ispitivanje, ispitivanjem, ispitujući, provjera, provjeravajući, test, testiranja, testiranje"
automatically,"automatizirano, automatski, automatsko"
automate,automatizirati
automatize,automatizirati
automaticity,automatičnost
automatic lathe,automatna tokarilica
automatic attendant system,"automatska distribucija poziva, automatski poslužujući sustav"
automatic number identification,"automatska identifikacija broja, automatsko prepoznavanje broja, automatsko prepoznavanje broja pozivatelja"
automatic train control,automatska kontrola niza
submachine gun,automatska puška
automatic call distribution,automatska raspodjela poziva
automatic gain control,automatska regulacija pojačanja
automatic level control,automatska regulacija razine
answering machine,"automatska tajnica, odzivni uređaj"
auto topology,automatska topologija
automatical,automatski
autobalance,"automatski balans, ravnoteža"
automatic call distributor,"automatski distributer poziva, automatski distributor poziva, automatski raspodjeljivac poziva, automatski raspodjeljivač poziva"
automated assembly system,automatski montažni sustav
automatic call ticketing,"automatski obračun, automatski obračun poziva"
automatic word selec,automatski odabir riječi
automatic recovery,"automatski oporavak, automatsko obnavljanje"
miniature circuit breaker,"automatski osigurač, minijaturni prekidač"
autopilot,"automatski pilot, sprava koja održava kurs broda"
autoreclosure,automatski pomovni uklop
auto poll,"automatski pozicioni uređaj, automatski pozivni uređaj"
automatic interrupt,automatski prekid
autoforwarded message,automatski proslijeđena poruka
robot,"automatski signal, robot, čovjek-stroj"
unmanned,"automatski upravljan, bez ljudstva, bez operatora, bez posade"
solenoid valve,"automatski ventil, elektromagnetski ventil"
automatic repeat request,"automatski zahtjev za ponavljanje, automatski zahtjev za retransmisiju, protokol ARQ"
automatic request for repeat,"automatski zahtjev za ponavljanje, protokol ARG, protokol ARQ"
unwatched,"automatski, bez dežurnog"
unattended,"automatski, bez nadzora, bez operatora, nenadziran, nepraćen, u miru, zanemaren"
oral,"automatski, oralan, oralna, oralna primjena, usmen, usmene, usmenoj, usni"
automatic alternative billing,automatsko alternativno zaračunavanje poziva
automatic data recording,automatsko bilježenje podataka
autoregistration,"automatsko bilježenje, samobilježenje"
autodialing,automatsko biranje
power dialing,"automatsko biranje u kombinaciji s posrednicima, intenzivno biranje"
auto complete,automatsko dopunjavanje
autocomplete,automatsko dopunjavanje ; AutoComplete ; SamoDopuna
rendering,"automatsko dovršavanje crteža, automatsko dovršavanje slike, automatsko iscrtavanje, iscrtavanje, izvođenje, obaviti, popuštanje kočnica vitla, popuštanje pod silom mehaničke snage, prevođenje, prijevod, prikazivanje, pružanje pomoći, pružanjem, topljenje, tumačenje"
autoformat,"automatsko formatiranje dokumenta, automatsko oblikovanje"
autocorrect,"automatsko ispravka grešaka, automatsko ispravlja. grešaka ; AutoCorrect ; SamoIspravak, automatsko ispravljanje"
auto correct,automatsko ispravljanje ; Auto Correct ; automatski ispravci
auto fill,automatsko ispunjavanje
auto filter,automatsko izdvajanje
autofilter,automatsko izdvajanje
auto format,automatsko oblikovanje
auto message accounting,automatsko obračunavanja poruka
autofit,automatsko podešavanje širine stupca ; AutoFit ; automatsko podešavanje širine
autodial,automatsko pozivanje
automatic speech,automatsko prepoznavanje govora
stored message autoforward,automatsko prosljeđivanje pohranjene poruke
autoforwarding,"automatsko prosljeđivanje, automatsko prosljeđivanje poruka, samoprosljedivanje, samoprosljeđivanje"
automatic scripting,automatsko upisivanje
autocar,automobil
automobile,"automobil, automobila"
motor car,"automobil, motorna kola"
automobiles,automobila
cars,"automobila, automobile"
tire,"automobilska guma, dosađivati, guma na točku, obruč, umarati se, umoriti, vanjska guma, vanjski točak, zamarati"
auto industry,automobilska industrija
motor vehicle industry,automobilska industrija
automotive,automobilski
auto,automobilski ; auto- ; samo-
automobile parts,automobilski dijelovi
automotive systems,automobilski sustavi
automorphic,automorfan
automorphism,automorfizam
automorphic forms,automorfne forme
autonomous,"autonoman, autonomna, autonomne, autonomni, autonomnima, autonomno, nezavisni, samostalan, samoupravni"
autonomy,"autonomija, autonomije, autonomiji, autonomiju, nezavisnost, samostalnost, samouprava"
autonomic neuropathy,autonomna neuropatija
autonomous community,autonomna zajednica
autonomous agents,autonomni agenti
autonomous machines,autonomni strojevi
autonomous system,"autonomni sustav, neovisni sustav, sustav s vlastitim usmjeravanjem, sustav s vlastitim usmjeravanjem (u Internetu)"
autonomous systems,autonomni sustavi
autonomous marine vehicle,autonomno plovilo
autonomous domain,"autonomno područje, neovisno područje"
autonomous territories of palestine,autonomous territories of Palestine ; autonomna palestinska područja
autopoesis,autopoeza
autopolar,autopolaran
carrier,"autoprijevoznik, kliconoša, nosač, nosilac modulacije, nositelj, poštar, prijenosnik, prijevoznik, val nosilac, vozar, vozač ; Carrier ; nosilac"
blood cell autoantibodies,autoprotutijela na krvne stanice
autotest,"autoprovjera, autoprovjeravanje"
autopsy,"autopsija, obdukcija, seciranje leša"
highway,"autoput, glavni drum, kanal velike brzine, vodilo, zajednička staza signala (iz različitih kanala)"
vexillographer,"autor zastave, crtač zastave, dizajner zastave, veksilograf"
author,"autor, autora, autorica, književnik, krivac, pisac, programer, tvorac, začetnik"
authors,"autora, autori, pisci"
autoradar,autoradar
autoradiograph,autoradiograf
autoregressive process,"autoregresivna pojava, autoregresivni proces"
autoregressive,autoregresivni
autoregulation,autoregulacija
authoritarian,"autoritarna, autoritarni"
authoritarian regime,autoritarni režim
authoritative,"autoritativan, mjerodavan, zapovjednički"
power,"autoritet, energija, energije, jakost, kapacitet, mehanička snaga, moć, moći, ovlast, ovlasti, pokreće, produktivnost, proizvodnost, sila, snaga, snagom, snagu, vlast"
authority,"autoritet, mjerodavnost, nadležnost, ovlast, ovlaštenik, ovlaštenje, punovažnost, rukovodstvo, tijelo, uprava, uprave, ustanova, vlast, vlasti"
authorization,"autorizacija, autorizacijski, dopuštenje, dozvola, odobrenje, ovlast, ovlaštenje, punomoć, raspodjela"
authorized,"autoriziran, dopušten, dopušteno, odobren, ovlašten, ovlašteni"
copyrights,"autorska prava, autorskim pravima"
authoring shell,autorske ljuske
authoring tool,autorski alat
authoring tools,"autorski alati, sredstvo za stvaranje, sredstvo za stvaranje višemedijskog materijala"
authoring,"autorski, stvaranje, stvaranje višemedijskog materijala"
copyright,autorsko pravo
authorship,autorstvo
paternity,"autorstvo, očinstvo, porijeklo po ocu"
auto service garage,autoservis
autosynchronize,"autosinhronizacija, autosinhronizirano"
autosomes,autosomni kromosomi
autosomal,autosomno
hitch hike,autostopirati
autotransformer,"autotrafo, autotransformator"
autotransductor,autotransduktor
autoinductive,"autotransformatorski, samoindukcijski"
autogiro,"autožir, žiroplan"
outsider,"autsajder, igrač koji nije favorit, laik, nečlan, strano lice"
alas,"avaj, jao, teško meni"
aval,aval
avalanchetype,"avalanche-type ; lavinski tip, usovni tip"
advance guard,"avangarda, predstraža"
advance,"avans, dizanje cijena, ispred, isturen, kretanje naprijed, nadiranje, nadirati, napredak, napredan, napredovanje, napredovati, pokrenuti naprijed, pomicanje, povećali, preduhitriti, predujam, prije, progres, ranije, unaprijediti, uspjeh, zajam, žuriti (sat)"
advances,"avansi, napredak, unapređivanje"
adventure,"avantura, događaj, dogodovština, doživljaj, doživljaja, izvrći se, odvažiti se, opasan poduhva, opasan poduhvat, opasan pothvat, pustolovina, pustolovni pothvat, smion pothvat, spekulacija, usuditi se"
adventurer,"avanturist, avanturista"
adventurous,"avanturistički, avanturističku, hrabar, odvažan, opasan, poduzetan, preduzimljiv"
adventuress,"avanturistkinja, pustolovka"
avenue,"avenija, drvored, način, put, široka ulica"
aventurine,aventurin
obverse,"avers, lice, prednja strana zastave, prednjica"
risk averse,averzija prema riziku
univerese,avet
shade,"avet, bacati sjenu, baciti sjenku, duh, hlad, hladovina, hladovito mjesto, jačina, naočale za sunce, nijansa, potamniti, prigušiti, različitost, sablast, sjena, sjenka, sjenčati, suton, zasjeniti, zasjenčati, zaslon, zaslonjeno mjesto, zavjesa, zaštititi, štitnik"
community,"avet, društvo, društvu, hrvatske organizacije, istovjetnost, komuna, općina, zajednica, zajednice, zajednici, zajednicom, zajednicu"
spook,"avet, duh"
ghost,"avet, duh, duha, sablast, utvara"
apparition,"avet, duh, pojava, prikaza, utvara"
spectre,"avet, duh, predosjećaj, slutnja"
wraith,"avet, duh, priviđenje"
hobgoblin,"avet, kućni duh, strašilo"
people,"avet, ljude, ljudi, ljudima, nacija, narod, narodi, nastaniti, rodbina, rođaci, čovjek"
folk,"avet, narod, narodne, narodnih"
world,"avet, svemir, svijet, svijeta, svijetom, svijetu, svjetska, svjetske, svjetski, svjetskih, svjetskog, svjetskom, zemlja"
unearthly,"avetinjski, neprirodan, nezemaljski"
spectral,"avetinjski, sablastan, spektarski, spektralan, spektralna, spektralni"
aircraft,"avijacija, avion, letilica, zrakoplov, zrakoplove, zrakoplovni, zrakoplovstvo"
aviation,"avijacija, avionski, zrakoplovni, zračni ; Aviation ; zrakoplovstvo"
air force,"avijacija, ratno zrakoplovstvo"
aeronautics,"avijacija, vazduhoplovstvo, zrakoplovstvo"
pilot,"avijatičar, davati pravac, kormilar, peljar, pilot, pilotirati, provoditi, sprovodnik, upravljati, voditi"
aviator,"avijatičar, pilot"
airman,"avijatičar, pilot, zrakoplovac"
by air mail,avinska pošta
avionics,avioelektronika
aeromechanic,aviomehaničar
aeroplan,avion
biplane,"avion s dva krila, avion sa dva krila, dvokrilac"
aeroplane,"avion, avionom"
plane,"avion, gladak, izgladiti, izribati, platana, ploha, ravan, ravnica, ravnina, stupanj"
airplane,"avion, zrakoplov"
aerocar,avion-automobil
avigation,"avionavigacija, zrakoplovstvo"
craft,"avioni, brodovlje, lađa, objekt, obrt, obrtnički, obrtništvo, stalež, umješnost, vještina, zanat, znanje, čamac, čun"
aeroengine,"avionki motor, avionski motor"
by air,avionom
plane ticket,avionska karta
aircrash,avionska nesreća
aircrew,avionska posada
air mail,avionska pošta
aeroturbine,"avionska turbin, avionska turbina"
aviation company,"avionska, zračna kompanija"
avgas,avionski benzin
snipper,avionski radar
airborne,"avionski, biti u skoku, biti u zraku nakon skoka, na krilima vjetra, u avionu, u vazduhu, u zraku"
aviation fuel,avionsko gorivo
aileron,avionsko krilce
avocado,avokado
avometer,"avometar, univerzalni instrument"
ax axe,"ax, axe ; sjekira"
amianthus,azbest
asbestos,azbest
asiatic,azijatski
asian,"azijatski ; Asian ; azijske, azijski"
shelter,"azil, dati utočište, dati zaklon, okrilje, prihvatiti, sakriti, sklonište, utočište, zaklon, zakloniti, zaštita, zaštititi, štititi"
port,"azil, lijevo, luci, luka, luke, lukom, lučki grad, priključak, pristanište, pristanište brodova, pristupna točka, utočište, vrata na brodu ; Port ; port, ulaz"
asylum,"azil, sklonište, utoćište, utočište"
azimuth,azimut
bearing,"azimut, držanje, goniometar, ležaj, ležište, nosač, nosivost, nosivosti, odnos, osnova, položaj, ponašanje, pravac, smjer, veza"
azel,azimut-elevacija
azimuthal,azimutni
bearing angle,"azimutski kut, azimutski ugao"
azoles,azoli
azotometer,azotmetar
skyblue,"azuran, plav kao nebo"
azure,"azuran, plav, plavetnilo"
aide de camp,ađutant
adjutant,"ađutant, koji pomaže, pomoćnik"
spade,"ašov, lopata"
prompt,"ažuran, bez odlaganja, brz, došaptavati, odzivni znak, odzivnik, potaknuti, točan, znak aktivnog posla, znak spremnosti za prihvat naredbe"
update,"ažuriran, ažuriranje, ažurirati, dopuniti, korigirati, modernizirati, obnavljanje, obnovi, obnoviti, poboljšati"
updated,"ažuriran, najnoviji, novijeg, obnavlja, obnovljene, obnovljeno"
file updating,"ažuriranje datoteke, nadopunjavanje datoteke, obnavljanje datoteke"
altering,"ažuriranje, mijenjanje"
updating,"ažuriranje, modernizacija, obnova, poboljšanje"
promptly,"ažurno, hitno, odmah"
bc,"b.c. ; prije Krista ; B.C. ; pr. Krista, pr.n.e. ; BC ; prije nove ere"
old biddy,baba
old woman,baba
softie,baba
grandmother,"baba, baka"
softy,"baba, budala, slabić"
petticoat,"baba, djevojka, donja suknja, žena"
skirt,"baba, djevojka, ivica, izolator čašica, rub, skut, suknja, žena"
crone,"baba, stara vještica, starica"
hag,"baba, vještica"
midwife,"babica, primalja"
baboon,babun
baby beef product,"baby beef product"" ; proizvod od mlade govedine"
babysitting,baby-sitting ; čuvanje djece ; čuvanje djece
throw,"bacaju, bacanje, bacati, baciti, baciti se, domet, položiti, prebacivanje, skretanje, zbaciti"
throwing,"bacajući, bacanje"
heaving line,"bacalo, pandul"
throwing line,"bacalo, pandul"
coin toss,bacanje novčića
jettison,"bacanje tereta s broda koji je u opasnosti, izbacivanje tereta u more, riješiti se"
plumbing,"bacanje viska, mjerenje mora, vodovod, vodovod cijevi"
toss,"bacanje, bacati uvis, baciti u vis, hitnuti, nemir, ždrijebanje"
cast,"bacanje, bacati, baciti, lijevan, lijevana, lijevanih, lijevano željezo, lijevati, odbaciti"
to throw,bacati
spawn,"bacati ikru, ikra, izleći, izrod, mrijestiti se, okotiti, razmnožavati se, žgadija"
floor,"bacati na pod, kat, kata, katu, pod, podu, sprat"
seed,"bacati sjeme, ići u sjeme, kakvoća sjemena, klica, očistiti, potomstvo, proklijati, rod, sijati, sjeme, zametnu, zasijati, zrno"
spoil,"bacati u otpad, kvariti, narušavaju, opljačkati, otpadni materi, oštetiti, plijen, pljačkati, pobrkati, pokvariti, pokvariti se, položaji, ratni trofeji"
blow up,"bacati u zrak, napuhati"
fling,"bacati, bacati se, jurnuti"
shoot,"bacati, fotografirati, gađati, izbaciti, loviti, obasipati, odašiljati, odmaći, odrediti, pogoditi, proletjeti, pucati, ustrijeliti"
shed,"bacati, garaža, hangar, ispuštati, izdati, liti, nadstrešnica, obasjavaju, opadati, pogon, prosuti, radionica, rasipanje, spremište, spremište za alat, staja, suša, čašica izolatora, širiti, šupa"
skim,"bacati, jedva dodirivati, kliziti, obrati, pregledati"
scatter,"bacati, prosuti, prskati, rasijati, rasipanje, raspršenost, rasprši vati, raspršiti, rastjerivati, rasturiti se, razagnati, razasuti, razbacati, razdati, razići se, razmještaj"
pitcher,"bacač, krigla, krčag, zemljani vrč, ćup"
mortar,"bacač, merzer, minobacač, mort, mužar, rastvor vapna, stupa, žbuka"
bacilli,bacil
bacillus,bacil
threw,"bacili, izbacio, strovalivši"
throw the ball,baciti loptu
flounce,"baciti se, jurnuti, komešati se, nabor, nagli pokret, volan (haljina)"
pounce,"baciti se, kandža, nagli skok, naletjeti, navaliti, zalet, zgrabiti"
reflect,"baciti sjenku, iskazivati, odbijati, odbijati se, odraz, odraziti, odražavati, održavati, prikazivati, razmišljati"
sling,"baciti, braga, hitac, hitnuti, izbaciti, naramenica, petlja, praćka, prebaciti, remen, rogulje, uprta, uže, zavoj, zločin"
drop,"baciti, curiti, ispustiti, ispustiti iz ruke, izbacivanje, iznenada posjetiti, kap, kapati, kaplja, kapljica, opasti, spustiti, spuštati"
pop,"baciti, dati, gurnuti, otvoriti se, oštar zvuk, pjenušavo piće, pucanj, založiti"
pitch,"baciti, distanca prevaljena jednim okretom vijka, katran, nagib krova, nivo, period, podići, podići šator, razapeti, razapeti šator, razdoblje, razmak, smola, snaga, stupanj, visina, visina glasa, vrh, vrhunac"
put,"baciti, dići, hitnuti, koristiti, metnuti, odgoditi, podnijeti, položiti, postaviti, potaknuti, prouzrokovati, skloniti, stavim, staviti, stavljanje, ugasiti, zabilježiti"
send,"baciti, ispuštati, odaslati, odašiljati, otposlati, otpremiti, poslati, pošaljite, predati, slati, uputiti, širiti"
pounder,"baciti, izlijevati, liti, usuti"
discard,"baciti, odbaciti, odložiti (naredba), pobacati"
hurl,"baciti, snažan udarac"
backaction,back-action ; protudjelovanje
backcourt specialist,back-court specialist ; stručnjak za igru stražnjeg reda
backend processor,"back-end processor ; pomoćni obradnik, pomoćni procesor"
backlight,back-light ; zadnje svjetlo
backrow player,back-row player ; igrač stražnjeg reda
backsaw,"back-saw ; ručna pila, ručna testera"
backstroke,back-stroke ; povratni hod
backtoback,"back-to-back ; izgib, suprotni, ugib"
backup,"back-up ; podrška ; kopija, presnimati, presnimiti, programa), rezerva, rezervni, sačuvati, sigurnosna kopija, sigurnosna kopija (podataka ; Backup ; rezervna kopija"
backup measure,"back-up measure ; mjera podrške, mjere podrške, podrška"
backgroundlimited photoconductrve detector,background-limited photoconductrve detector ; idealni Tetovo d Ij ivi detektor (BLIP detektor)
backwardwave oscillator,backward-wave oscillator ; oscilator s povratnim valom
badtempered,bad-tempered ; nabusit
almond,"badem, krajnik, mandula"
bathrobe,"bademantil, kućna haljina"
almonds,bademi
almond oil,bademovo ulje
badminton,badminton
cooper,"badnjar, bakar, bačvar"
buffer,"bafer, brbljivac, buffer, međumemorija, međuspremnik, odbojnik, privremeni spremnik, zaštita, šupljoglavac"
buffered,"baferiran, s baferom, s bufferom"
buffer receive,baferski prijem
baffleboard,"baffle-board ; skretna pregrada, skretnica"
bargain,"bagatela, cjenjkanje, cjenjkati se, jeftino, niska cijena, pogodba"
rush,"bagatela, juriti, jurnjava, jurnuti, nagli napad, nagrnuti, nalet, navala, navaliti, pojuriti, pritisak, rogoz, sitnica, trska"
dredge,bager
shovel,"bager na lopati, kopati, lopata, lopatica, zgrtati"
baggagehold,baggage-hold ; prtljažnik
brat,"bagra, balavac, derište, dijete, izdanak, izrod, nevaljanac, potomak"
sprig,"bagra, grančica, izdanak, izrod, mladica"
acacia,bagrem
delicious,"bajan, divan, mio, prijatan, sladak, slastan, ukusan"
charming,"bajan, dražestan, krasan, ljubak, ljupki, ljupkoga, prekrasan, čaroban"
folktale,bajka
fairy tale,"bajka, bajke, priča o vilama"
fable,"bajka, basna, priča"
fiction,"bajka, beletristika, fikciji, izmišljanje"
tale,"bajka, izmišljotina, laž, legenda, ogovarati, pripovijest, pripovijetka, priča, spletka, spletkariti"
legend,"bajka, legenda, legendi, predaja, priča, zapis"
fairy tales,"bajke, bajki"
bayonet socket,"bajonetski spoj, bajunetska utičnica, bajunetski spoj, bajunetsko podnožje"
byte,"bajt, blok simbolabyte, kodna grupa, najmanji dio memorije, oktet, riječ duljine osam bitova"
octet,"bajt, oktet, osmorka, riječ duljine osam bitova"
bytes per second,"bajtova u sekundi, broj bajtova u sekundi, broj okteta u sekundi"
bayonet,bajuneta
pike,"bajuneta, probosti, šiljast vrh, štuka"
grandma,"baka, bakica"
cod fish,bakalar
cod,"bakalar, bakalarom"
baccalaureate,"bakalaureat, matura, maturu"
bacchanal,bakanal
bacchant,bakant
bacchante,bakantkinja
bacchanalian,bakantski
copper,"bakar, bakarni novčić, kotao, pobakriti"
brassy,"bakarne boj, bezobrazan, drzak, mesingan, metalan zvuk"
brazen,"bakarni, bestidan, bezobrazan, drzak, mesingan"
bakelite,bakelit
bakelized,bakeliziran
bakers,baker's ; pekarnica
bakers man,baker's man ; pekarski pomoćnik
bakers yeast,baker's yeast ; pekarski kvasac
granny,bakica
flare,"baklja, bliještati, bljesak"
torch,"baklja, buktinja, džepna lampa, džepna svjetiljka, električna lampica, gorionik, luča"
copper pair,bakrena parica
bacterium,bakterija
bacterial,"bakterija, bakterijski"
bacteria,"bakterijama, bakterije"
lactic acid bacteria,bakterije mliječne kiseline
bacterial activity in sediment,bakterijska aktivnost u sedimentu
bacterial cytotoxicity,bakterijska citotoksičnost
bacterial infection,bakterijske infekcije
bacterial genome,bakterijski genom
bacteriophage,bakteriofag
bacteriophage lambda,bakteriofag lambda
bacteriology,bakteriologija
bacteriological,"bakteriološka, bakteriološki"
bacterioplankton,bakterioplankton
masquerade,"bal pod maskama, krabuljni ples, lažno prikazivati, maska, maskenbal, prerušiti se, pretvarati se, pritvor"
ball,"bal, gruda, klube, klupko, kružno, kugla, kuglica, lopta, ples"
bundle,"bala, breme, paket, snop, svežanj, zavežljaj"
bale,"bala, denjak, jamčiti, nesreća, omot, paket, prešati u bale, roba, složiti u bale"
ballad,balada
ballads,balade
balafon,balafon
balanceofpayments deficit,balance-of-payments deficit ; deficit platne bilance
balancesheet analysis,balance-sheet analysis ; analiza bilance
balancing loading,balancing - loading ; Uravnotežavanje - utovar
balance,"balans, balansirati, bilanca, bilanci, biti u ravnoteži, klatno, odmjeriti, ostatak, preostali dio, protuteža, ravnoteža, saldo, simetrija, uravnoteženje, uravnotežiti, usporediti, vaga, vagati"
balanced line,"balansirana linija, simetrična linija, uravnotežena linija"
balanced modulator,"balansirani modulator, simetrični modulator, uravnoteženi modulator"
balancin,"balansiranje, saldiranje, simetriranje, uravnoteženje"
balancing,"balansiranje, saldiranje, uravnotežavanje, uravnoteženje"
link access procedure balanced,balansni podatkovni protokol
ballast,"balast, balastni, gruž, iskustvo, načela, opteretiti, opterećenje, pošljunčiti, teret, teret koji ne plaća vozarinu, tovariti, uteg, uvjerenja"
ballast lamp,"balastna lampa, lampa za opterećenje"
ballast water,balastna voda
sand load,balastno opterećenje
slobbery,"balav, slinav"
slaver,"balaviti, brod za robove, laskati, pljuvačka, sliniti, trgovac robljem"
dung,"balega, gnojivo, izmet"
ballerina,balerina
ballet girl,"balerina, baletna plesačica"
ballet dance,balet
ballet,"balet, baletni"
ballet dancer,"baletan, baletna plesačica, baletski plesač, plesač"
ballistics,balistika
ballistic,balistički
ballistic missile,balistički projektil
balitron,balitron
balkan,balkanski
balcony,"balkon, balkonom, galerija, platforma"
balconies,balkoni
ball grid array package,ball - grid array package ; kućište s nizovima rešetkastih kuglastih izvoda
ball shaggershagger,ball shagger/shagger ; sakupljač lopti
balland socket joi,ball-and -socket joi ; kuglasti zglob
ballandsocket join,ball-and-socket join ; kuglični zglob
ballbody relationship,ball-body relationship ; odnos lopte i tijela
ballpoint pen,ball-point pen ; kemijska olovka
ballretriever,ball-retriever ; hvatač lopte
ballast dirty,"ballast, dirty ; prljavi balast"
ballast segregated,"ballast, segregated ; čisti balast odvojen od prljavih zauljenih voda"
ballast solid,"ballast, solid ; čvrsti balast"
ballpointpen,ballpoint-pen ; kemijska olovka
dirigible,balon
yarn ballon,balon pređe
bubble,"balon, balona, balonu, ključanje, mjehur, mjehurić, pjenušati se, varka, vrenje"
balloon,"balon, balončić, kugla, nadimati se, zračni balon"
demi john,"balon, sud"
word balloon,balončić s riječima
balloons,balončići
balustrade,"balustrada, gelender, ograda, rukohvat"
blockhead,"balvan, bedak, glupak, greda"
log,"balvan, bilježiti, brvnara, cjepanica, deblo, evidentirati, klada, nakupiti, panj, zabilježiti, zapis, zapisati"
chump,"balvan, glava, glupak"
balk,"balvan, greda, greška, ignorirati, međa, neuspjeh, ometati, prepreka, promašaj, propustiti, smetnja, zadržavati, zaobići, zapreka"
beam,"balvan, greda, izlučivati, luk, mlaz, nosač, ozib vage, palubna potporna greda, snop, snop zraka, snopa, spona, svjetlosni snop, svjetlosni zrak, usmjeravati, zrak, zraka, šipka, širina broda"
junk,"balvan, iskrivljeni znakovi pri prijenosu, kriška"
balm,"balzam, matičnjak, melem"
baim,"balzam, miris"
embalm,balzamirati
mummy,"balzamirati, bitumenozna boja, mama, mamica, mumija"
bamboo,"bambus, bambusi"
gombo,bamija
okra,bamija
banks,"banaka, bankama, banke"
stale,"banalan, bez ukusa, izvjetrio, mokraća, neaktivan, otrcan, suh, ustajao, zagušljiv"
trite,"banalan, običan, otrcan"
commonplace,"banalan, običan, svakidašnji"
platitudinous,"banalan, otrcan, plitak"
banal,"banalan, otrcan, svakidašnji"
banana plug,"banana utikač, jednopolni utikač"
banana jack,"banana utičnica, banana-gnijezdo, banana-utikač, banana-čahura, jednopolna utičnica"
plantain,"banana za pečenje, bokvica, trputec"
banana,"banana, banana za jelo"
bench mark,banch mark
bank,"banci, banka, bankarski, bankarskom, bankovni, bankovnim, baterija, bedem, blok, grupa, grupiranje, klupa, ležište, nanos, nasip, niz, obala, obale, obali, obalom, otići sa broda na obalu, plićak, serija, sprud"
bandguard,band-guard ; zaštitno polje
band,"banda, dijapazon, družina, grupa, kolut, lanci, muzička kapela, obruč, odred, okovi, opseg, orkestar, pantljika, područje, pojas, pojasniti, polje, poveznica, prsten, rulja, sastav, skupina, spojiti, traka, trakast, veza, vezati, vrpca, zavoj"
gang,"banda, družba, družba zločinaca, družina, družina lučkih radnika, grupa, smjena, udruženje, čestica"
flag,"bandera, bandjera, klonuti, oznaka, perunika, preporoditelja, sandžak, stijeg, umoriti se, zastava, zastave, zastavica"
bandit,"bandit, razbojnik"
bandits,banditizam
banditism,"banditizam, lopovluk"
racketeering,"banditizam, ucjenjivanje"
bandpass filter bandpass filter,"bandpass filter (band-pass filter) ; pojasne propusni filtar, pojasni filtar, pojasni propusnik"
bandstop filter bandstop filter,"bandstop filter (band-stop filter) ; pojasna brana, pojasne nepropusni filtar"
bandylegged,bandy-legged ; krivonog
banner,"baner, barjak, transparent, vertikalna zastava, viseća zastava, zastava"
bangban,bang-ban ; dvopoložajni
bath,"banja, kada, korito, kupanje, kupati, kupatilo, kupelj"
spa,"banja, lječiliste, lječilište, mineralno vrelo"
bankassignement,bank-assignement ; bankovna doznaka
banknotes,"bank-notes ; novčanice, papirnati novac ; novčanice"
brain bank,banka moždanog tkiva
advising bank,banka obavijesti
notifying bank,banka obavijesti
data bank,banka podataka
tumour tissue bank,banka tumora
banker,bankar
banking policy,bankarska politika
banking book,"bankarski poslovi, bankovna knjiga"
bank clerk,"bankarski službenik, banknovni činovnik, bankovni činovnik"
banking system,"bankarski sustav, bankovni sustav"
banking,"bankarski, bankarstvo, krivina puta, kut zaokreta, obavljanje bankovnih poslova, ugao zaokreta"
law of banking,bankarsko pravo
banking profession,bankarsko zvanje
banking and other financial services,bankarstvo i ostale financijske usluge
bankers draft,banker's draft ; bankovna mjenica
banquet,"banket, gozba"
note,"banknota, bilješka, bilježiti, evidentirati, napomena, nokta, nota, novčanica, obavijest, ocjena, oznaka, pismo, pjevanje, pribilješka, primijetiti, primjedba, priopćenje, priznanica, prizvuk, račun, ton, upozorenje, važnost, vika, zabilješka, zabilježiti, zadužnica, zapaziti, zapisati, značajnost"
bill,"banknota, ceh, dokument, faktura, fakturirati, kljun, lista, mjenica, novčanica, obrazac, oglas, plakat, prijedlog zakona, program, račun, spisak, zakon"
bank note,"banknota, novčanica"
banknote,"banknota, novčanica"
cash machine,bankomat
magnetic account,bankovna kartica
banking supervision,bankovna kontrola
banking secrecy,bankovna tajna
bank transfer,"bankovna uplatnica, bankovnom uplatnicom"
business lines,bankovne kategorije
home banking,"bankovne transakcije, bankovno poslovanje iz doma"
bank deposit,bankovni depozit
bank charges,bankovni trošak
bankrupt,"bankrot, bankrotirati"
bankruptcy,"bankrot, stečaj, stečajni, stečajnom"
become insolvent,bankrotirati
go bankrupt,bankrotirati
razzle,"bančenje, pijanka"
debauch,"bančenje, pijančenje, raskalašenost, razvrat"
carousal,"bančenje, pijančenje, vrteška"
