,Korean,ENGLISH,POLISH,Chinese,SPANISH,SWEDISH,INDONESIAN,Japanese,ChineseT,ARABIC,MALAGASY,FRENCH,RUSSIAN,BELARUSIAN,TAMIL,TURKISH,DANISH,CROATIAN,ITALIAN,MACEDONIAN,DUTCH,CZECH,GREEK,GERMAN,TELUGU,SLOVENIAN,FINNISH,HUNGARIAN,BIHARI,PORTUGUESE,VIETNAMESE,MALAYALAM,ALBANIAN,MALTESE,Unknown,GALICIAN,ESTONIAN,ARMENIAN,NORWEGIAN,SERBIAN,HEBREW,SLOVAK,THAI,UKRAINIAN,ROMANIAN,GEORGIAN,LITHUANIAN,HINDI,BENGALI,ICELANDIC,LATVIAN,PERSIAN,SWAHILI,TAGALOG,UZBEK,CATALAN,BOSNIAN,FRISIAN,ORIYA,SINHALESE,MARATHI,TURKMEN,AZERBAIJANI,BASQUE,NORWEGIAN_N,BURMESE,BULGARIAN,TIGRINYA,SOMALI,LUXEMBOURGISH,MALAY,URDU,GUJARATI,KAZAKH,TAJIK,KANNADA,HAUSA,DHIVEHI,PASHTO,MONGOLIAN,KURDISH,PUNJABI,KINYARWANDA,WELSH,RHAETO_ROMANCE,AYMARA,WARAY_PHILIPPINES,OROMO,KYRGYZ,IRISH,SCOTS_GAELIC,GANDA,AFRIKAANS,FAROESE,YORUBA,NYANJA,AMHARIC,LATIN,CORSICAN,IGBO,SESELWA,SAMOAN,LINGALA,XHOSA,TIBETAN,OCCITAN,NEPALI,GUARANI,HMONG,TATAR
야,50275.0,306.0,56.0,65.0,4.0,71.0,,2.0,4.0,14.0,,93.0,,,,,,,81.0,1.0,3.0,63.0,,76.0,,1.0,,6.0,,78.0,,,,,,,,,112.0,,,,6.0,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
는,230558.0,350.0,160.0,232.0,52.0,10.0,,9.0,15.0,193.0,,32.0,4.0,,,,,,10.0,,5.0,47.0,,7.0,,,,14.0,,11.0,2.0,,,,,,,,41.0,,,,2.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여,84973.0,269.0,219.0,296.0,8.0,28.0,,2.0,12.0,20.0,,82.0,1.0,,,,,16.0,32.0,,19.0,116.0,,17.0,,1.0,,52.0,,20.0,3.0,,,,,,,,45.0,,,,6.0,,4.0,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하,174944.0,665.0,239.0,236.0,28.0,11.0,,6.0,17.0,101.0,,45.0,6.0,,,1.0,,,17.0,,4.0,96.0,,10.0,,,,34.0,,15.0,,,,,,,,,73.0,,,,7.0,,9.0,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
놔,510.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쟁,11747.0,20.0,4.0,9.0,,,,,2.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에,429226.0,393.0,102.0,386.0,34.0,1.0,,25.0,16.0,191.0,,12.0,5.0,,,,,,1.0,,10.0,18.0,,2.0,,,,12.0,,1.0,3.0,,,,,,,,10.0,,,,9.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
팜,1737.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
타,47930.0,111.0,106.0,149.0,5.0,2.0,,4.0,11.0,14.0,,14.0,4.0,,,,,,7.0,1.0,4.0,22.0,,3.0,,,,19.0,,9.0,2.0,,,,,,,,32.0,,,,4.0,,1.0,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스,237535.0,1010.0,1070.0,762.0,27.0,90.0,,22.0,54.0,76.0,,381.0,7.0,,,1.0,6.0,,99.0,,20.0,339.0,,110.0,,2.0,,106.0,,95.0,1.0,,,,,,,,285.0,,,,11.0,,9.0,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
업,141885.0,386.0,327.0,376.0,5.0,69.0,,12.0,2.0,21.0,,151.0,4.0,,,,2.0,4.0,68.0,,11.0,134.0,,69.0,,3.0,,151.0,,67.0,,,,,,,,,128.0,,,,1.0,,2.0,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수,185075.0,625.0,227.0,320.0,15.0,28.0,,7.0,10.0,36.0,,67.0,3.0,,,,3.0,3.0,15.0,,3.0,86.0,,11.0,,,,20.0,,16.0,2.0,,,,,,,,62.0,,,,5.0,,2.0,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인,244789.0,1058.0,809.0,717.0,22.0,74.0,,22.0,31.0,63.0,,279.0,1.0,,,,9.0,13.0,62.0,,17.0,143.0,,71.0,,1.0,,112.0,,67.0,1.0,,,,,,,,168.0,,,,4.0,,5.0,,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사,309894.0,1566.0,1519.0,871.0,29.0,175.0,,10.0,39.0,73.0,,492.0,6.0,,,4.0,19.0,5.0,160.0,,40.0,729.0,1.0,176.0,,3.0,,210.0,,159.0,2.0,,,,,,,,421.0,,,,13.0,,9.0,,,,,,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유,94712.0,515.0,150.0,115.0,2.0,19.0,,7.0,9.0,18.0,,74.0,4.0,,,,,1.0,12.0,,3.0,60.0,,13.0,,,,12.0,,12.0,1.0,,,,,,,,36.0,,,,7.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신,108993.0,509.0,226.0,277.0,11.0,5.0,,7.0,9.0,31.0,,45.0,2.0,,,,,,21.0,,9.0,99.0,,15.0,,,,34.0,,21.0,1.0,,,,,,,,73.0,,,,1.0,,4.0,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
체,78253.0,71.0,46.0,50.0,2.0,7.0,,8.0,2.0,11.0,,9.0,,,,,,,7.0,,4.0,8.0,,35.0,,,,1.0,,8.0,,,,,,,,,11.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公,1688.0,1556.0,52.0,1134199.0,15.0,,,71224.0,278214.0,17.0,,140.0,12.0,,,13.0,11.0,,3.0,,,31.0,6.0,90.0,,5.0,,,,8.0,6.0,,,,,,,,,,,,1.0,4.0,5.0,,,,,,13.0,,2.0,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
